Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.007394677	101497.408	101497.408	101497.408	101497.408	0	0	0	0	8329.72	0	0	3
2	16	0	0.014789354	101495.803	101496.605	101495.803	101497.408	0.802344014	0	0	0	4095.03	0	0	3
3	18	0	0.022184031	101495.693	101496.301	101495.693	101497.408	1.10629523	0	0	0	3415.2	0	0	3
4	20	0	0.029578708	101495.725	101496.157	101495.693	101497.408	1.25041832	0	0	0	1965.16	0	0	3
5	22	0	0.036973385	101495.68	101496.062	101495.68	101497.408	1.34587556	0	0	0	1127.36	0	0	3
6	25	0	0.044368062	101495.767	101496.013	101495.68	101497.408	1.3950355	0	0	0	754.677	0	0	3
7	26	0	0.051762739	101495.721	101495.971	101495.68	101497.408	1.4367336	0	0	0	722.776	0	0	3
8	28	0	0.059157416	101495.803	101495.95	101495.68	101497.408	1.45771817	0	0	0	621.858	0	0	3
9	30	0	0.066552093	101495.764	101495.929	101495.68	101497.408	1.47835714	0	0	0	588.65	0	0	3
10	32	0	0.07394677	101495.832	101495.919	101495.68	101497.408	1.48810597	0	0	0	582.189	0	0	3
11	34	0	0.081341447	101495.803	101495.909	101495.68	101497.408	1.49865252	0	0	0	543.447	0	0	3
12	36	0	0.088736124	101495.86	101495.905	101495.68	101497.408	1.50274242	0	0	0	547.971	0	0	3
13	38	0	0.096130801	101495.852	101495.901	101495.68	101497.408	1.50678146	0	0	0	557.22	0	0	3
14	40	0	0.103525478	101495.877	101495.899	101495.68	101497.408	1.50850002	0	0	0	570.808	0	0	3
15	42	0	0.110920155	101495.881	101495.898	101495.68	101497.408	1.50967395	0	0	0	579.975	0	0	3
16	44	0	0.118314832	101495.906	101495.898	101495.68	101497.408	1.50967395	0	0	0	583.075	0	0	3
17	46	0	0.125709509	101495.908	101495.899	101495.68	101497.408	1.50967395	0	0	0	595.863	0	0	3
18	48	0	0.133104186	101495.92	101495.9	101495.68	101497.408	1.50967395	0	0	0	595.788	0	0	3
