Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00757620562	17.000042	17.000042	17.000042	17.000042	0	0	0	0	20.9724	0	0	3
2	14	0	0.0151524112	17.0004508	17.0002464	17.000042	17.0004508	0.000204403624	0	0	0	21.0461	0	0	3
3	16	0	0.0227286169	17.000458	17.0003169	17.000042	17.000458	0.000274954128	0	0	0	21.1194	0	0	3
4	18	0	0.0303048225	17.0005549	17.0003764	17.000042	17.0005549	0.000334453077	0	0	0	21.1076	0	0	3
5	20	0	0.0378810281	17.0005939	17.0004199	17.000042	17.0005939	0.000377937522	0	0	0	21.1624	0	0	3
6	22	0	0.0454572337	17.0007234	17.0004705	17.000042	17.0007234	0.000428509925	0	0	0	21.1915	0	0	3
7	23	0	0.0530334394	17.0008497	17.0005247	17.000042	17.0008497	0.000482685915	0	0	0	21.2481	0	0	3
8	25	0	0.060609645	17.0009916	17.000583	17.000042	17.0009916	0.000541054953	0	0	0	21.2545	0	0	3
9	27	0	0.0681858506	17.0011404	17.000645	17.000042	17.0011404	0.000602984043	0	0	0	21.2751	0	0	3
10	29	0	0.0757620562	17.0012831	17.0007088	17.000042	17.0012831	0.000666792734	0	0	0	21.2707	0	0	3
11	31	0	0.0833382619	17.0014626	17.0007773	17.000042	17.0014626	0.000735325395	0	0	0	21.304	0	0	3
12	33	0	0.0909144675	17.0016479	17.0008499	17.000042	17.0016479	0.000807875853	0	0	0	21.3902	0	0	3
13	35	0	0.0984906731	17.0018049	17.0009233	17.000042	17.0018049	0.000881339803	0	0	0	21.3995	0	0	3
14	36	0	0.106066879	17.0019653	17.0009978	17.000042	17.0019653	0.000955766511	0	0	0	21.377	0	0	3
15	38	0	0.113643084	17.0021183	17.0010725	17.000042	17.0021183	0.00103047182	0	0	0	21.3349	0	0	3
16	40	0	0.12121929	17.0023499	17.0011523	17.000042	17.0023499	0.00111031098	0	0	0	21.3202	0	0	3
17	42	0	0.128795496	17.0025697	17.0012357	17.000042	17.0025697	0.00119368912	0	0	0	21.3756	0	0	3
18	44	0	0.136371701	17.0027885	17.0013219	17.000042	17.0027885	0.00127995786	0	0	0	21.4544	0	0	3
19	46	0	0.143947907	17.0030043	17.0014105	17.000042	17.0030043	0.00136850051	0	0	0	21.5261	0	0	3
20	47	0	0.151524112	17.0032234	17.0015011	17.000042	17.0032234	0.00145914493	0	0	0	21.5689	0	0	3
21	49	0	0.159100318	17.0035756	17.0015999	17.000042	17.0035756	0.00155792677	0	0	0	21.6091	0	0	3
22	51	0	0.166676524	17.0039517	17.0017068	17.000042	17.0039517	0.00166482493	0	0	0	21.5887	0	0	3
23	53	0	0.174252729	17.0043543	17.0018219	17.000042	17.0043543	0.00177993137	0	0	0	21.557	0	0	3
24	55	0	0.181828935	17.0047877	17.0019455	17.000042	17.0047877	0.00190350409	0	0	0	21.6647	0	0	3
25	57	0	0.189405141	17.0052481	17.0020776	17.000042	17.0052481	0.0020356088	0	0	0	21.7602	0	0	3
26	58	0	0.196981346	17.0059921	17.0022282	17.000042	17.0059921	0.00218616804	0	0	0	21.8831	0	0	3
27	60	0	0.204557552	17.0067561	17.0023959	17.000042	17.0067561	0.00235386961	0	0	0	21.9872	0	0	3
28	62	0	0.212133757	17.007519	17.0025788	17.000042	17.007519	0.00253684008	0	0	0	22.0696	0	0	3
29	64	0	0.219709963	17.0082651	17.0027749	17.000042	17.0082651	0.00273291895	0	0	0	22.1324	0	0	3
30	65	0	0.227286169	17.0089819	17.0029818	17.000042	17.0089819	0.00293981738	0	0	0	22.1804	0	0	3
31	67	0	0.234862374	17.0099589	17.0032069	17.000042	17.0099589	0.00316488609	0	0	0	22.2367	0	0	3
32	69	0	0.24243858	17.0108496	17.0034457	17.000042	17.0108496	0.00340371995	0	0	0	22.2858	0	0	3
33	71	0	0.250014786	17.0116538	17.0036944	17.000042	17.0116538	0.00365245116	0	0	0	22.3174	0	0	3
34	73	0	0.257590991	17.0123777	17.0039498	17.000042	17.0123777	0.00390784262	0	0	0	22.334	0	0	3
35	74	0	0.265167197	17.0130341	17.0042094	17.000042	17.0130341	0.00416739246	0	0	0	22.3437	0	0	3
36	76	0	0.272743402	17.0139181	17.0044791	17.000042	17.0139181	0.00443707771	0	0	0	22.35	0	0	3
37	78	0	0.280319608	17.0147334	17.0047562	17.000042	17.0147334	0.004714221	0	0	0	22.3571	0	0	3
38	80	0	0.287895814	17.0155029	17.005039	17.000042	17.0155029	0.00499702957	0	0	0	22.3655	0	0	3
39	82	0	0.295472019	17.0162287	17.0053259	17.000042	17.0162287	0.00528394333	0	0	0	22.3767	0	0	3
40	84	0	0.303048225	17.0169004	17.0056153	17.000042	17.0169004	0.0055733054	0	0	0	22.3879	0	0	3
41	86	0	0.310624431	17.0176814	17.0059096	17.000042	17.0176814	0.00586760074	0	0	0	22.4028	0	0	3
42	87	0	0.318200636	17.0183009	17.0062046	17.000042	17.0183009	0.00616263246	0	0	0	22.4143	0	0	3
43	89	0	0.325776842	17.0187803	17.0064971	17.000042	17.0187803	0.00645509126	0	0	0	22.4215	0	0	3
44	91	0	0.333353047	17.0191387	17.0067844	17.000042	17.0191387	0.00674239996	0	0	0	22.4285	0	0	3
45	93	0	0.340929253	17.0194031	17.0070648	17.000042	17.0194031	0.00702281566	0	0	0	22.4327	0	0	3
46	95	0	0.348505459	17.019499	17.0073351	17.000042	17.019499	0.00729312416	0	0	0	22.4353	0	0	3
47	96	0	0.356081664	17.0195668	17.0075954	17.000042	17.0195668	0.00755337345	0	0	0	22.4356	0	0	3
48	98	0	0.36365787	17.0195959	17.0078454	17.000042	17.0195959	0.00780338515	0	0	0	22.4367	0	0	3
49	100	0	0.371234076	17.0195833	17.0080849	17.000042	17.0195959	0.00804293543	0	0	0	22.4358	0	0	3
50	102	0	0.378810281	17.0195313	17.0083139	17.000042	17.0195959	0.00827186358	0	0	0	22.4372	0	0	3
51	104	0	0.386386487	17.0194016	17.0085313	17.000042	17.0195959	0.00848927066	0	0	0	22.4296	0	0	3
52	106	0	0.393962692	17.0192725	17.0087378	17.000042	17.0195959	0.00869583206	0	0	0	22.4246	0	0	3
53	107	0	0.401538898	17.019142	17.0089341	17.000042	17.0195959	0.00889213658	0	0	0	22.4193	0	0	3
54	109	0	0.409115104	17.0190028	17.0091206	17.000042	17.0195959	0.00907859346	0	0	0	22.4166	0	0	3
55	111	0	0.416691309	17.0188614	17.0092977	17.000042	17.0195959	0.00925569927	0	0	0	22.4134	0	0	3
56	116	0	0.424267515	17.0187015	17.0094656	17.000042	17.0195959	0.00942362517	0	0	0	22.3978	0	0	3
57	118	0	0.431843721	17.0185563	17.0096251	17.000042	17.0195959	0.00958311149	0	0	0	22.3816	0	0	3
58	120	0	0.439419926	17.018433	17.009777	17.000042	17.0195959	0.00973497209	0	0	0	22.3687	0	0	3
59	122	0	0.446996132	17.0183348	17.009922	17.000042	17.0195959	0.00988001964	0	0	0	22.3588	0	0	3
60	123	0	0.454572337	17.0182621	17.010061	17.000042	17.0195959	0.0100190205	0	0	0	22.3518	0	0	3
61	125	0	0.462148543	17.0181475	17.0101936	17.000042	17.0195959	0.0101515867	0	0	0	22.3533	0	0	3
62	127	0	0.469724749	17.018091	17.010321	17.000042	17.0195959	0.0102789649	0	0	0	22.3562	0	0	3
63	129	0	0.477300954	17.018068	17.0104439	17.000042	17.0195959	0.0104019338	0	0	0	22.3575	0	0	3
64	131	0	0.48487716	17.0180545	17.0105628	17.000042	17.0195959	0.0105208493	0	0	0	22.3577	0	0	3
65	133	0	0.492453366	17.0180401	17.0106779	17.000042	17.0195959	0.010635884	0	0	0	22.3574	0	0	3
66	135	0	0.500029571	17.0179923	17.0107887	17.000042	17.0195959	0.0107467086	0	0	0	22.3697	0	0	3
67	136	0	0.507605777	17.017963	17.0110602	17.0004508	17.0195959	0.0108138353	0	0	0	22.3805	0	0	3
68	138	0	0.515181982	17.017933	17.0113251	17.000458	17.0195959	0.0110081662	0	0	0	22.3883	0	0	3
69	140	0	0.522758188	17.0178882	17.0115892	17.0005549	17.0195959	0.011212761	0	0	0	22.3929	0	0	3
70	142	0	0.530334394	17.0178257	17.0118509	17.0005939	17.0195959	0.0114309549	0	0	0	22.3961	0	0	3
71	144	0	0.537910599	17.0177517	17.0121108	17.0007234	17.0195959	0.0116403492	0	0	0	22.386	0	0	3
72	146	0	0.545486805	17.017686	17.0123679	17.0008497	17.0195959	0.0118431833	0	0	0	22.3767	0	0	3
73	147	0	0.553063011	17.0176343	17.0126222	17.0009916	17.0195959	0.0120391253	0	0	0	22.3693	0	0	3
74	149	0	0.560639216	17.0175966	17.0128738	17.0011404	17.0195959	0.012228787	0	0	0	22.3637	0	0	3
75	151	0	0.568215422	17.0175754	17.0131228	17.0012831	17.0195959	0.0124139938	0	0	0	22.3611	0	0	3
76	153	0	0.575791627	17.017481	17.0133682	17.0014626	17.0195959	0.0125908843	0	0	0	22.3508	0	0	3
77	155	0	0.583367833	17.0174312	17.0136101	17.0016479	17.0195959	0.0127602824	0	0	0	22.3421	0	0	3
78	157	0	0.590944039	17.0174081	17.0138489	17.0018049	17.0195959	0.0129256096	0	0	0	22.336	0	0	3
79	159	0	0.598520244	17.0173937	17.0140851	17.0019653	17.0195959	0.0130873764	0	0	0	22.3323	0	0	3
80	160	0	0.60609645	17.0173793	17.0143187	17.0021183	17.0195959	0.0132462165	0	0	0	22.3304	0	0	3
81	162	0	0.613672656	17.0173632	17.0145497	17.0023499	17.0195959	0.0133973607	0	0	0	22.338	0	0	3
82	164	0	0.621248861	17.0173681	17.0147772	17.0025697	17.0195959	0.0135415308	0	0	0	22.3452	0	0	3
83	166	0	0.628825067	17.0173808	17.0150016	17.0027885	17.0195959	0.0136796718	0	0	0	22.3498	0	0	3
84	168	0	0.636401272	17.0173834	17.0152228	17.0030043	17.0195959	0.0138122642	0	0	0	22.3517	0	0	3
85	170	0	0.643977478	17.0173707	17.0154404	17.0032234	17.0195959	0.0139392935	0	0	0	22.352	0	0	3
86	172	0	0.651553684	17.01731	17.0156539	17.0035756	17.0195959	0.0140539456	0	0	0	22.3579	0	0	3
87	173	0	0.659129889	17.0172552	17.0158611	17.0039517	17.0195959	0.0141543154	0	0	0	22.3625	0	0	3
88	175	0	0.666706095	17.0171978	17.0160618	17.0043543	17.0195959	0.0142399083	0	0	0	22.3651	0	0	3
89	177	0	0.674282301	17.0171346	17.0162555	17.0047877	17.0195959	0.0143099776	0	0	0	22.3663	0	0	3
90	179	0	0.681858506	17.0170669	17.0164415	17.0052481	17.0195959	0.014347813	0	0	0	22.3675	0	0	3
91	181	0	0.689434712	17.0169811	17.0166193	17.0059921	17.0195959	0.0136037857	0	0	0	22.3573	0	0	3
92	183	0	0.697010917	17.0169198	17.0167849	17.0067561	17.0195959	0.0128398244	0	0	0	22.3483	0	0	3
93	185	0	0.704587123	17.0168827	17.0169383	17.007519	17.0195959	0.0120768919	0	0	0	22.341	0	0	3
94	187	0	0.712163329	17.0168611	17.0170798	17.0082651	17.0195959	0.0113308076	0	0	0	22.3369	0	0	3
95	189	0	0.719739534	17.0168567	17.01721	17.0089819	17.0195959	0.0106140628	0	0	0	22.3345	0	0	3
96	191	0	0.72731574	17.0168394	17.0173291	17.0099589	17.0195959	0.00963698744	0	0	0	22.326	0	0	3
97	193	0	0.734891946	17.0168703	17.0174338	17.0108496	17.0195959	0.00874636524	0	0	0	22.3228	0	0	3
98	195	0	0.742468151	17.0169317	17.0175259	17.0116538	17.0195959	0.00794208495	0	0	0	22.3224	0	0	3
99	197	0	0.750044357	17.0170057	17.017607	17.0123777	17.0195959	0.00721817384	0	0	0	22.3239	0	0	3
100	199	0	0.757620562	17.0170808	17.0176783	17.0130341	17.0195959	0.00656184793	0	0	0	22.326	0	0	3
101	202	0	0.765196768	17.0171101	17.01774	17.0139181	17.0195959	0.0056778731	0	0	0	22.3411	0	0	3
102	204	0	0.772772974	17.0171631	17.0177892	17.0147334	17.0195959	0.00486255536	0	0	0	22.3541	0	0	3
103	206	0	0.780349179	17.0172289	17.017827	17.0155029	17.0195959	0.00409298829	0	0	0	22.3628	0	0	3
104	208	0	0.787925385	17.0172945	17.0178542	17.0162287	17.0195959	0.00336726837	0	0	0	22.3686	0	0	3
105	210	0	0.795501591	17.0173561	17.0178713	17.0168394	17.0195959	0.0027564792	0	0	0	22.3742	0	0	3
106	212	0	0.803077796	17.0173321	17.0178778	17.0168394	17.0195959	0.0027564792	0	0	0	22.3789	0	0	3
107	213	0	0.810654002	17.01732	17.0178723	17.0168394	17.0195959	0.0027564792	0	0	0	22.3817	0	0	3
108	215	0	0.818230207	17.0172994	17.0178571	17.0168394	17.0195959	0.0027564792	0	0	0	22.3836	0	0	3
