Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.007394677	132.544269	132.544269	132.544269	132.544269	0	0	0	0	0	0	0	3
2	16	0	0.014789354	3.61055582	68.0774125	3.61055582	132.544269	64.4668567	0	0	0	0	0	0	3
3	18	0	0.022184031	7.27680162	47.8105422	3.61055582	132.544269	84.733727	0	0	0	0	0	0	3
4	20	0	0.029578708	-3.93532579	34.8740752	-3.93532579	132.544269	97.670194	0	0	0	0	0	0	3
5	22	0	0.036973385	5.7627251	29.0518052	-3.93532579	132.544269	103.492464	0	0	0	0	0	0	3
6	25	0	0.044368062	-1.45936803	23.9666097	-3.93532579	132.544269	108.57766	0	0	0	0	0	0	3
7	26	0	0.051762739	3.41154408	21.0301717	-3.93532579	132.544269	111.514097	0	0	0	0	0	0	3
8	28	0	0.059157416	-0.33539093	18.3594764	-3.93532579	132.544269	114.184793	0	0	0	0	0	0	3
9	30	0	0.066552093	2.35764478	16.5814951	-3.93532579	132.544269	115.962774	0	0	0	0	0	0	3
10	32	0	0.07394677	0.319326268	14.9552782	-3.93532579	132.544269	117.588991	0	0	0	0	0	0	3
11	34	0	0.081341447	1.66494115	13.7470658	-3.93532579	132.544269	118.797203	0	0	0	0	0	0	3
12	36	0	0.088736124	0.904766052	12.6768741	-3.93532579	132.544269	119.867395	0	0	0	0	0	0	3
13	38	0	0.096130801	1.32876751	11.8039428	-3.93532579	132.544269	120.740326	0	0	0	0	0	0	3
14	40	0	0.103525478	1.1808421	11.0451499	-3.93532579	132.544269	121.499119	0	0	0	0	0	0	3
15	42	0	0.110920155	1.14213569	10.384949	-3.93532579	132.544269	122.15932	0	0	0	0	0	0	3
16	44	0	0.118314832	1.25188739	9.81413262	-3.93532579	132.544269	122.730137	0	0	0	0	0	0	3
17	46	0	0.125709509	1.04909459	9.29854215	-3.93532579	132.544269	123.245727	0	0	0	0	0	0	3
18	48	0	0.133104186	1.13150851	8.84481806	-3.93532579	132.544269	123.699451	0	0	0	0	0	0	3
19	50	0	0.140498863	0.970698382	8.43039071	-3.93532579	132.544269	124.113878	0	0	0	0	0	0	3
20	52	0	0.14789354	1.01091232	8.05941679	-3.93532579	132.544269	124.484852	0	0	0	0	0	0	3
21	54	0	0.155288217	0.879277931	7.71750542	-3.93532579	132.544269	124.826764	0	0	0	0	0	0	3
22	56	0	0.162682894	0.854405941	7.40554635	-3.93532579	132.544269	125.138723	0	0	0	0	0	0	3
23	58	0	0.170077571	0.786627722	7.11776728	-3.93532579	132.544269	125.426502	0	0	0	0	0	0	3
24	60	0	0.177472248	0.751704041	6.85251464	-3.93532579	132.544269	125.691755	0	0	0	0	0	0	3
