Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.007394677	298.372313	298.372313	298.372313	298.372313	0	0	0	0	0	0	0	3
2	16	0	0.014789354	6.7478343	152.560074	6.7478343	298.372313	145.812239	0	0	0	0	0	0	3
3	18	0	0.022184031	29.248268	111.456138	6.7478343	298.372313	186.916174	0	0	0	0	0	0	3
4	20	0	0.029578708	-9.87075167	81.1244159	-9.87075167	298.372313	217.247897	0	0	0	0	0	0	3
5	22	0	0.036973385	31.2908835	71.1577094	-9.87075167	298.372313	227.214603	0	0	0	0	0	0	3
6	25	0	0.044368062	-2.75716919	58.838563	-9.87075167	298.372313	239.53375	0	0	0	0	0	0	3
7	26	0	0.051762739	25.4123386	54.0633881	-9.87075167	298.372313	244.308925	0	0	0	0	0	0	3
8	28	0	0.059157416	0.942174798	47.4232364	-9.87075167	298.372313	250.949076	0	0	0	0	0	0	3
9	30	0	0.066552093	24.6866554	44.8969496	-9.87075167	298.372313	253.475363	0	0	0	0	0	0	3
10	32	0	0.07394677	3.69431283	40.7766859	-9.87075167	298.372313	257.595627	0	0	0	0	0	0	3
11	34	0	0.081341447	22.3863807	39.10484	-9.87075167	298.372313	259.267473	0	0	0	0	0	0	3
12	36	0	0.088736124	8.85390204	36.5839285	-9.87075167	298.372313	261.788384	0	0	0	0	0	0	3
13	38	0	0.096130801	22.8141072	35.5247115	-9.87075167	298.372313	262.847601	0	0	0	0	0	0	3
14	40	0	0.103525478	12.2887235	33.8649981	-9.87075167	298.372313	264.507315	0	0	0	0	0	0	3
15	42	0	0.110920155	23.3058107	33.1610522	-9.87075167	298.372313	265.211261	0	0	0	0	0	0	3
16	44	0	0.118314832	15.9213661	32.0835719	-9.87075167	298.372313	266.288741	0	0	0	0	0	0	3
17	46	0	0.125709509	22.1373555	31.4985003	-9.87075167	298.372313	266.873813	0	0	0	0	0	0	3
18	48	0	0.133104186	17.8575273	30.7406685	-9.87075167	298.372313	267.631644	0	0	0	0	0	0	3
19	50	0	0.140498863	21.3538032	30.2466229	-9.87075167	298.372313	268.12569	0	0	0	0	0	0	3
20	52	0	0.14789354	19.0752574	29.6880546	-9.87075167	298.372313	268.684258	0	0	0	0	0	0	3
21	54	0	0.155288217	20.6280247	29.2566247	-9.87075167	298.372313	269.115688	0	0	0	0	0	0	3
22	56	0	0.162682894	19.9332487	28.8328348	-9.87075167	298.372313	269.539478	0	0	0	0	0	0	3
23	58	0	0.170077571	20.5351114	28.4720642	-9.87075167	298.372313	269.900249	0	0	0	0	0	0	3
24	60	0	0.177472248	20.2208348	28.128263	-9.87075167	298.372313	270.24405	0	0	0	0	0	0	3
25	62	0	0.184866925	20.3966686	27.8189992	-9.87075167	298.372313	270.553314	0	0	0	0	0	0	3
26	64	0	0.192261602	20.4238656	27.534571	-9.87075167	298.372313	270.837742	0	0	0	0	0	0	3
27	66	0	0.199656279	20.4640604	27.2727003	-9.87075167	298.372313	271.099613	0	0	0	0	0	0	3
28	67	0	0.207050956	20.4128752	27.0277065	-9.87075167	298.372313	271.344606	0	0	0	0	0	0	3
29	69	0	0.214445633	20.3653931	26.7979716	-9.87075167	298.372313	271.574341	0	0	0	0	0	0	3
30	71	0	0.22184031	20.3236043	26.5821593	-9.87075167	298.372313	271.790154	0	0	0	0	0	0	3
31	73	0	0.229234987	20.3394273	26.3807809	-9.87075167	298.372313	271.991532	0	0	0	0	0	0	3
32	75	0	0.236629664	20.4118343	26.1942513	-9.87075167	298.372313	272.178062	0	0	0	0	0	0	3
