Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.007394677	0	0	0	0	0	0	0	0	0	0	0	3
2	16	0	0.014789354	0	0	0	0	0	0	0	0	0	0	0	3
3	18	0	0.022184031	0	0	0	0	0	0	0	0	0	0	0	3
4	20	0	0.029578708	0	0	0	0	0	0	0	0	0	0	0	3
5	22	0	0.036973385	0	0	0	0	0	0	0	0	0	0	0	3
6	25	0	0.044368062	0	0	0	0	0	0	0	0	0	0	0	3
7	26	0	0.051762739	0	0	0	0	0	0	0	0	0	0	0	3
8	28	0	0.059157416	0	0	0	0	0	0	0	0	0	0	0	3
9	30	0	0.066552093	0	0	0	0	0	0	0	0	0	0	0	3
10	32	0	0.07394677	0	0	0	0	0	0	0	0	0	0	0	3
11	34	0	0.081341447	0	0	0	0	0	0	0	0	0	0	0	3
12	36	0	0.088736124	0	0	0	0	0	0	0	0	0	0	0	3
13	38	0	0.096130801	0	0	0	0	0	0	0	0	0	0	0	3
14	40	0	0.103525478	0	0	0	0	0	0	0	0	0	0	0	3
15	42	0	0.110920155	0	0	0	0	0	0	0	0	0	0	0	3
16	44	0	0.118314832	0	0	0	0	0	0	0	0	0	0	0	3
17	46	0	0.125709509	0	0	0	0	0	0	0	0	0	0	0	3
18	48	0	0.133104186	0	0	0	0	0	0	0	0	0	0	0	3
19	50	0	0.140498863	0	0	0	0	0	0	0	0	0	0	0	3
20	52	0	0.14789354	0	0	0	0	0	0	0	0	0	0	0	3
21	54	0	0.155288217	0	0	0	0	0	0	0	0	0	0	0	3
22	56	0	0.162682894	0	0	0	0	0	0	0	0	0	0	0	3
23	58	0	0.170077571	0	0	0	0	0	0	0	0	0	0	0	3
24	60	0	0.177472248	0	0	0	0	0	0	0	0	0	0	0	3
25	62	0	0.184866925	0	0	0	0	0	0	0	0	0	0	0	3
26	64	0	0.192261602	0	0	0	0	0	0	0	0	0	0	0	3
27	66	0	0.199656279	0	0	0	0	0	0	0	0	0	0	0	3
28	67	0	0.207050956	0	0	0	0	0	0	0	0	0	0	0	3
29	69	0	0.214445633	0	0	0	0	0	0	0	0	0	0	0	3
30	71	0	0.22184031	0	0	0	0	0	0	0	0	0	0	0	3
31	73	0	0.229234987	0	0	0	0	0	0	0	0	0	0	0	3
32	75	0	0.236629664	0	0	0	0	0	0	0	0	0	0	0	3
33	77	0	0.244024341	0	0	0	0	0	0	0	0	0	0	0	3
34	79	0	0.251419018	0	0	0	0	0	0	0	0	0	0	0	3
35	81	0	0.258813695	0	0	0	0	0	0	0	0	0	0	0	3
36	83	0	0.266208372	0	0	0	0	0	0	0	0	0	0	0	3
37	85	0	0.273603049	0	0	0	0	0	0	0	0	0	0	0	3
38	87	0	0.280997726	0	0	0	0	0	0	0	0	0	0	0	3
39	89	0	0.288392403	0	0	0	0	0	0	0	0	0	0	0	3
40	90	0	0.29578708	0	0	0	0	0	0	0	0	0	0	0	3
41	93	0	0.303181757	0	0	0	0	0	0	0	0	0	0	0	3
42	95	0	0.310576434	0	0	0	0	0	0	0	0	0	0	0	3
43	97	0	0.317971111	0	0	0	0	0	0	0	0	0	0	0	3
44	98	0	0.325365788	0	0	0	0	0	0	0	0	0	0	0	3
45	100	0	0.332760465	0	0	0	0	0	0	0	0	0	0	0	3
46	102	0	0.340155142	0	0	0	0	0	0	0	0	0	0	0	3
47	104	0	0.347549819	0	0	0	0	0	0	0	0	0	0	0	3
48	106	0	0.354944496	0	0	0	0	0	0	0	0	0	0	0	3
49	108	0	0.362339173	0	0	0	0	0	0	0	0	0	0	0	3
50	110	0	0.36973385	0	0	0	0	0	0	0	0	0	0	0	3
51	112	0	0.377128527	0	0	0	0	0	0	0	0	0	0	0	3
52	114	0	0.384523204	0	0	0	0	0	0	0	0	0	0	0	3
53	116	0	0.391917881	0	0	0	0	0	0	0	0	0	0	0	3
54	118	0	0.399312558	0	0	0	0	0	0	0	0	0	0	0	3
55	120	0	0.406707235	0	0	0	0	0	0	0	0	0	0	0	3
56	122	0	0.414101912	0	0	0	0	0	0	0	0	0	0	0	3
57	124	0	0.421496589	0	0	0	0	0	0	0	0	0	0	0	3
58	126	0	0.428891266	0	0	0	0	0	0	0	0	0	0	0	3
59	128	0	0.436285943	0	0	0	0	0	0	0	0	0	0	0	3
60	130	0	0.44368062	0	0	0	0	0	0	0	0	0	0	0	3
61	132	0	0.451075297	0	0	0	0	0	0	0	0	0	0	0	3
62	134	0	0.458469974	0	0	0	0	0	0	0	0	0	0	0	3
63	136	0	0.465864651	0	0	0	0	0	0	0	0	0	0	0	3
64	137	0	0.473259328	0	0	0	0	0	0	0	0	0	0	0	3
65	139	0	0.480654005	0	0	0	0	0	0	0	0	0	0	0	3
66	141	0	0.488048682	0	0	0	0	0	0	0	0	0	0	0	3
67	143	0	0.495443359	0	0	0	0	0	0	0	0	0	0	0	3
68	145	0	0.502838036	0	0	0	0	0	0	0	0	0	0	0	3
69	147	0	0.510232713	0	0	0	0	0	0	0	0	0	0	0	3
70	149	0	0.51762739	0	0	0	0	0	0	0	0	0	0	0	3
71	151	0	0.525022067	0	0	0	0	0	0	0	0	0	0	0	3
72	153	0	0.532416744	0	0	0	0	0	0	0	0	0	0	0	3
73	155	0	0.539811421	0	0	0	0	0	0	0	0	0	0	0	3
74	157	0	0.547206098	0	0	0	0	0	0	0	0	0	0	0	3
75	159	0	0.554600775	0	0	0	0	0	0	0	0	0	0	0	3
76	161	0	0.561995452	0	0	0	0	0	0	0	0	0	0	0	3
77	163	0	0.569390129	0	0	0	0	0	0	0	0	0	0	0	3
78	165	0	0.576784806	0	0	0	0	0	0	0	0	0	0	0	3
79	167	0	0.584179483	0	0	0	0	0	0	0	0	0	0	0	3
80	169	0	0.59157416	0	0	0	0	0	0	0	0	0	0	0	3
81	171	0	0.598968837	0	0	0	0	0	0	0	0	0	0	0	3
82	173	0	0.606363514	0	0	0	0	0	0	0	0	0	0	0	3
83	175	0	0.613758191	0	0	0	0	0	0	0	0	0	0	0	3
84	176	0	0.621152868	0	0	0	0	0	0	0	0	0	0	0	3
85	178	0	0.628547545	0	0	0	0	0	0	0	0	0	0	0	3
86	180	0	0.635942222	0	0	0	0	0	0	0	0	0	0	0	3
87	182	0	0.643336899	0	0	0	0	0	0	0	0	0	0	0	3
88	184	0	0.650731576	0	0	0	0	0	0	0	0	0	0	0	3
89	186	0	0.658126253	0	0	0	0	0	0	0	0	0	0	0	3
90	188	0	0.66552093	0	0	0	0	0	0	0	0	0	0	0	3
91	190	0	0.672915607	0	0	0	0	0	0	0	0	0	0	0	3
92	192	0	0.680310284	0	0	0	0	0	0	0	0	0	0	0	3
93	194	0	0.687704961	0	0	0	0	0	0	0	0	0	0	0	3
94	196	0	0.695099638	0	0	0	0	0	0	0	0	0	0	0	3
95	197	0	0.702494315	0	0	0	0	0	0	0	0	0	0	0	3
96	200	0	0.709888992	0	0	0	0	0	0	0	0	0	0	0	3
97	201	0	0.717283669	0	0	0	0	0	0	0	0	0	0	0	3
98	203	0	0.724678346	0	0	0	0	0	0	0	0	0	0	0	3
99	205	0	0.732073023	0	0	0	0	0	0	0	0	0	0	0	3
100	207	0	0.7394677	0	0	0	0	0	0	0	0	0	0	0	3
101	211	0	0.746862377	0	0	0	0	0	0	0	0	0	0	0	3
102	213	0	0.754257054	0	0	0	0	0	0	0	0	0	0	0	3
103	215	0	0.761651731	0	0	0	0	0	0	0	0	0	0	0	3
104	217	0	0.769046408	0	0	0	0	0	0	0	0	0	0	0	3
105	219	0	0.776441085	0	0	0	0	0	0	0	0	0	0	0	3
106	221	0	0.783835762	0	0	0	0	0	0	0	0	0	0	0	3
107	223	0	0.791230439	0	0	0	0	0	0	0	0	0	0	0	3
108	225	0	0.798625116	0	0	0	0	0	0	0	0	0	0	0	3
109	227	0	0.806019793	0	0	0	0	0	0	0	0	0	0	0	3
110	228	0	0.81341447	0	0	0	0	0	0	0	0	0	0	0	3
111	230	0	0.820809147	0	0	0	0	0	0	0	0	0	0	0	3
112	232	0	0.828203824	0	0	0	0	0	0	0	0	0	0	0	3
113	234	0	0.835598501	0	0	0	0	0	0	0	0	0	0	0	3
114	236	0	0.842993178	0	0	0	0	0	0	0	0	0	0	0	3
115	238	0	0.850387855	0	0	0	0	0	0	0	0	0	0	0	3
116	240	0	0.857782532	0	0	0	0	0	0	0	0	0	0	0	3
117	242	0	0.865177209	0	0	0	0	0	0	0	0	0	0	0	3
118	244	0	0.872571886	0	0	0	0	0	0	0	0	0	0	0	3
119	246	0	0.879966563	0	0	0	0	0	0	0	0	0	0	0	3
120	247	0	0.88736124	0	0	0	0	0	0	0	0	0	0	0	3
121	249	0	0.894755917	0	0	0	0	0	0	0	0	0	0	0	3
122	251	0	0.902150594	0	0	0	0	0	0	0	0	0	0	0	3
123	253	0	0.909545271	0	0	0	0	0	0	0	0	0	0	0	3
124	255	0	0.916939948	0	0	0	0	0	0	0	0	0	0	0	3
125	257	0	0.924334625	0	0	0	0	0	0	0	0	0	0	0	3
126	259	0	0.931729302	0	0	0	0	0	0	0	0	0	0	0	3
127	261	0	0.939123979	0	0	0	0	0	0	0	0	0	0	0	3
128	263	0	0.946518656	0	0	0	0	0	0	0	0	0	0	0	3
129	265	0	0.953913333	0	0	0	0	0	0	0	0	0	0	0	3
130	267	0	0.96130801	0	0	0	0	0	0	0	0	0	0	0	3
131	269	0	0.968702687	0	0	0	0	0	0	0	0	0	0	0	3
132	270	0	0.976097364	0	0	0	0	0	0	0	0	0	0	0	3
133	272	0	0.983492041	0	0	0	0	0	0	0	0	0	0	0	3
134	274	0	0.990886718	0	0	0	0	0	0	0	0	0	0	0	3
135	276	0	0.998281395	0	0	0	0	0	0	0	0	0	0	0	3
136	278	0	1.00567607	0	0	0	0	0	0.001	0	0	0	0	0	3
137	280	0	1.01307075	0	0	0	0	0	0.001	0	0	0	0	0	3
138	282	0	1.02046543	0	0	0	0	0	0.001	0	0	0	0	0	3
139	284	0	1.0278601	0	0	0	0	0	0.001	0	0	0	0	0	3
140	286	0	1.03525478	0	0	0	0	0	0.001	0	0	0	0	0	3
141	288	0	1.04264946	0	0	0	0	0	0.001	0	0	0	0	0	3
142	290	0	1.05004413	0	0	0	0	0	0.001	0	0	0	0	0	3
143	292	0	1.05743881	0	0	0	0	0	0.001	0	0	0	0	0	3
144	294	0	1.06483349	0	0	0	0	0	0.001	0	0	0	0	0	3
145	296	0	1.07222816	0	0	0	0	0	0.001	0	0	0	0	0	3
146	298	0	1.07962284	0	0	0	0	0	0.001	0	0	0	0	0	3
147	300	0	1.08701752	0	0	0	0	0	0.001	0	0	0	0	0	3
148	302	0	1.0944122	0	0	0	0	0	0.001	0	0	0	0	0	3
149	304	0	1.10180687	0	0	0	0	0	0.001	0	0	0	0	0	3
150	306	0	1.10920155	0	0	0	0	0	0.001	0	0	0	0	0	3
151	308	0	1.11659623	0	0	0	0	0	0.001	0	0	0	0	0	3
152	310	0	1.1239909	0	0	0	0	0	0.001	0	0	0	0	0	3
153	312	0	1.13138558	0	0	0	0	0	0.001	0	0	0	0	0	3
154	314	0	1.13878026	0	0	0	0	0	0.001	0	0	0	0	0	3
155	316	0	1.14617493	0	0	0	0	0	0.001	0	0	0	0	0	3
156	318	0	1.15356961	0	0	0	0	0	0.001	0	0	0	0	0	3
157	320	0	1.16096429	0	0	0	0	0	0.001	0	0	0	0	0	3
158	322	0	1.16835897	0	0	0	0	0	0.001	0	0	0	0	0	3
159	324	0	1.17575364	0	0	0	0	0	0.001	0	0	0	0	0	3
160	326	0	1.18314832	0	0	0	0	0	0.001	0	0	0	0	0	3
161	328	0	1.190543	0	0	0	0	0	0.001	0	0	0	0	0	3
162	330	0	1.19793767	0	0	0	0	0	0.001	0	0	0	0	0	3
163	332	0	1.20533235	0	0	0	0	0	0.001	0	0	0	0	0	3
164	334	0	1.21272703	0	0	0	0	0	0.001	0	0	0	0	0	3
165	336	0	1.2201217	0	0	0	0	0	0.001	0	0	0	0	0	3
166	338	0	1.22751638	0	0	0	0	0	0.001	0	0	0	0	0	3
167	340	0	1.23491106	0	0	0	0	0	0.001	0	0	0	0	0	3
168	342	0	1.24230574	0	0	0	0	0	0.001	0	0	0	0	0	3
169	343	0	1.24970041	0	0	0	0	0	0.001	0	0	0	0	0	3
170	345	0	1.25709509	0	0	0	0	0	0.001	0	0	0	0	0	3
171	347	0	1.26448977	0	0	0	0	0	0.001	0	0	0	0	0	3
172	349	0	1.27188444	0	0	0	0	0	0.001	0	0	0	0	0	3
173	351	0	1.27927912	0	0	0	0	0	0.001	0	0	0	0	0	3
174	353	0	1.2866738	0	0	0	0	0	0.001	0	0	0	0	0	3
175	355	0	1.29406847	0	0	0	0	0	0.001	0	0	0	0	0	3
176	357	0	1.30146315	0	0	0	0	0	0.001	0	0	0	0	0	3
177	359	0	1.30885783	0	0	0	0	0	0.001	0	0	0	0	0	3
178	361	0	1.31625251	0	0	0	0	0	0.001	0	0	0	0	0	3
179	363	0	1.32364718	0	0	0	0	0	0.001	0	0	0	0	0	3
180	365	0	1.33104186	0	0	0	0	0	0.001	0	0	0	0	0	3
181	367	0	1.33843654	0	0	0	0	0	0.001	0	0	0	0	0	3
182	369	0	1.34583121	0	0	0	0	0	0.001	0	0	0	0	0	3
183	371	0	1.35322589	0	0	0	0	0	0.001	0	0	0	0	0	3
184	372	0	1.36062057	0	0	0	0	0	0.001	0	0	0	0	0	3
185	374	0	1.36801524	0	0	0	0	0	0.001	0	0	0	0	0	3
186	376	0	1.37540992	0	0	0	0	0	0.001	0	0	0	0	0	3
187	378	0	1.3828046	0	0	0	0	0	0.001	0	0	0	0	0	3
188	380	0	1.39019928	0	0	0	0	0	0.001	0	0	0	0	0	3
189	382	0	1.39759395	0	0	0	0	0	0.001	0	0	0	0	0	3
190	384	0	1.40498863	0	0	0	0	0	0.001	0	0	0	0	0	3
191	386	0	1.41238331	0	0	0	0	0	0.001	0	0	0	0	0	3
192	388	0	1.41977798	0	0	0	0	0	0.001	0	0	0	0	0	3
193	390	0	1.42717266	0	0	0	0	0	0.001	0	0	0	0	0	3
194	392	0	1.43456734	0	0	0	0	0	0.001	0	0	0	0	0	3
195	394	0	1.44196201	0	0	0	0	0	0.001	0	0	0	0	0	3
196	396	0	1.44935669	0	0	0	0	0	0.001	0	0	0	0	0	3
197	398	0	1.45675137	0	0	0	0	0	0.001	0	0	0	0	0	3
198	400	0	1.46414605	0	0	0	0	0	0.001	0	0	0	0	0	3
199	401	0	1.47154072	0	0	0	0	0	0.001	0	0	0	0	0	3
200	403	0	1.4789354	0	0	0	0	0	0.001	0	0	0	0	0	3
201	407	0	1.48633008	0	0	0	0	0	0.001	0	0	0	0	0	3
202	409	0	1.49372475	0	0	0	0	0	0.001	0	0	0	0	0	3
203	411	0	1.50111943	0	0	0	0	0	0.001	0	0	0	0	0	3
204	413	0	1.50851411	0	0	0	0	0	0.001	0	0	0	0	0	3
205	415	0	1.51590878	0	0	0	0	0	0.001	0	0	0	0	0	3
206	417	0	1.52330346	0	0	0	0	0	0.001	0	0	0	0	0	3
207	419	0	1.53069814	0	0	0	0	0	0.001	0	0	0	0	0	3
208	421	0	1.53809282	0	0	0	0	0	0.001	0	0	0	0	0	3
209	423	0	1.54548749	0	0	0	0	0	0.001	0	0	0	0	0	3
210	425	0	1.55288217	0	0	0	0	0	0.001	0	0	0	0	0	3
211	427	0	1.56027685	0	0	0	0	0	0.001	0	0	0	0	0	3
212	429	0	1.56767152	0	0	0	0	0	0.001	0	0	0	0	0	3
213	430	0	1.5750662	0	0	0	0	0	0.001	0	0	0	0	0	3
214	432	0	1.58246088	0	0	0	0	0	0.001	0	0	0	0	0	3
