Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00757620562	101323.301	101323.301	101323.301	101323.301	0	0	0	0	8019.53	0	0	3
2	14	0	0.0151524112	101321.756	101322.529	101321.756	101323.301	0.772371715	0	0	0	2974.51	0	0	3
3	16	0	0.0227286169	101321.628	101322.228	101321.628	101323.301	1.07263442	0	0	0	953.845	0	0	3
4	18	0	0.0303048225	101321.671	101322.089	101321.628	101323.301	1.21189996	0	0	0	541.086	0	0	3
5	20	0	0.0378810281	101321.626	101321.996	101321.626	101323.301	1.30441278	0	0	0	548.222	0	0	3
6	22	0	0.0454572337	101321.706	101321.948	101321.626	101323.301	1.35286808	0	0	0	469.823	0	0	3
7	23	0	0.0530334394	101321.664	101321.907	101321.626	101323.301	1.39345393	0	0	0	459.313	0	0	3
8	25	0	0.060609645	101321.737	101321.886	101321.626	101323.301	1.41471881	0	0	0	445.603	0	0	3
9	27	0	0.0681858506	101321.7	101321.865	101321.626	101323.301	1.43545636	0	0	0	422.31	0	0	3
10	29	0	0.0757620562	101321.761	101321.855	101321.626	101323.301	1.44590333	0	0	0	400.49	0	0	3
11	31	0	0.0833382619	101321.731	101321.844	101321.626	101323.301	1.45722039	0	0	0	402.878	0	0	3
12	33	0	0.0909144675	101321.782	101321.839	101321.626	101323.301	1.46237552	0	0	0	398.465	0	0	3
13	35	0	0.0984906731	101321.768	101321.833	101321.626	101323.301	1.46778386	0	0	0	402.771	0	0	3
14	36	0	0.106066879	101321.793	101321.83	101321.626	101323.301	1.47067216	0	0	0	402.312	0	0	3
15	38	0	0.113643084	101321.789	101321.827	101321.626	101323.301	1.47344991	0	0	0	406.441	0	0	3
16	40	0	0.12121929	101321.812	101321.826	101321.626	101323.301	1.47444217	0	0	0	408.715	0	0	3
17	42	0	0.128795496	101321.802	101321.825	101321.626	101323.301	1.47585439	0	0	0	411.181	0	0	3
18	44	0	0.136371701	101321.816	101321.825	101321.626	101323.301	1.47634403	0	0	0	414.377	0	0	3
19	46	0	0.143947907	101321.812	101321.824	101321.626	101323.301	1.47701389	0	0	0	418.714	0	0	3
20	47	0	0.151524112	101321.815	101321.823	101321.626	101323.301	1.47746845	0	0	0	420.981	0	0	3
21	49	0	0.159100318	101321.81	101321.823	101321.626	101323.301	1.47812667	0	0	0	426.139	0	0	3
22	51	0	0.166676524	101321.808	101321.822	101321.626	101323.301	1.47879213	0	0	0	429.773	0	0	3
23	53	0	0.174252729	101321.802	101321.821	101321.626	101323.301	1.4796686	0	0	0	435.736	0	0	3
24	55	0	0.181828935	101321.797	101321.82	101321.626	101323.301	1.48067198	0	0	0	438.88	0	0	3
25	57	0	0.189405141	101321.792	101321.819	101321.626	101323.301	1.48181855	0	0	0	442.344	0	0	3
26	58	0	0.196981346	101321.787	101321.818	101321.626	101323.301	1.48305724	0	0	0	443.557	0	0	3
27	60	0	0.204557552	101321.783	101321.817	101321.626	101323.301	1.48435115	0	0	0	444.71	0	0	3
28	62	0	0.212133757	101321.78	101321.815	101321.626	101323.301	1.48566536	0	0	0	443.362	0	0	3
29	64	0	0.219709963	101321.779	101321.814	101321.626	101323.301	1.4869267	0	0	0	438.226	0	0	3
30	65	0	0.227286169	101321.779	101321.813	101321.626	101323.301	1.48810287	0	0	0	431.82	0	0	3
31	67	0	0.234862374	101321.782	101321.812	101321.626	101323.301	1.48910189	0	0	0	424.928	0	0	3
32	69	0	0.24243858	101321.787	101321.811	101321.626	101323.301	1.48987141	0	0	0	416.6	0	0	3
33	71	0	0.250014786	101321.794	101321.811	101321.626	101323.301	1.49039274	0	0	0	406.802	0	0	3
34	73	0	0.257590991	101321.8	101321.81	101321.626	101323.301	1.49070268	0	0	0	398.246	0	0	3
35	74	0	0.265167197	101321.804	101321.81	101321.626	101323.301	1.49087091	0	0	0	389.869	0	0	3
36	76	0	0.272743402	101321.806	101321.81	101321.626	101323.301	1.49099187	0	0	0	382.179	0	0	3
37	78	0	0.280319608	101321.805	101321.81	101321.626	101323.301	1.49113464	0	0	0	380.53	0	0	3
38	80	0	0.287895814	101321.802	101321.81	101321.626	101323.301	1.49134119	0	0	0	371.041	0	0	3
39	82	0	0.295472019	101321.799	101321.809	101321.626	101323.301	1.49161641	0	0	0	368.497	0	0	3
40	84	0	0.303048225	101321.796	101321.809	101321.626	101323.301	1.49194316	0	0	0	363.268	0	0	3
41	86	0	0.310624431	101321.795	101321.809	101321.626	101323.301	1.49228351	0	0	0	363.953	0	0	3
42	87	0	0.318200636	101321.795	101321.808	101321.626	101323.301	1.49261526	0	0	0	362.873	0	0	3
43	89	0	0.325776842	101321.795	101321.808	101321.626	101323.301	1.4929209	0	0	0	364.821	0	0	3
44	91	0	0.333353047	101321.796	101321.808	101321.626	101323.301	1.49320093	0	0	0	362.789	0	0	3
45	93	0	0.340929253	101321.796	101321.807	101321.626	101323.301	1.49345773	0	0	0	364.861	0	0	3
46	95	0	0.348505459	101321.796	101321.807	101321.626	101323.301	1.49370463	0	0	0	362.318	0	0	3
47	96	0	0.356081664	101321.796	101321.807	101321.626	101323.301	1.49395203	0	0	0	364.443	0	0	3
48	98	0	0.36365787	101321.795	101321.807	101321.626	101323.301	1.49419841	0	0	0	361.353	0	0	3
49	100	0	0.371234076	101321.795	101321.806	101321.626	101323.301	1.49444571	0	0	0	363.484	0	0	3
50	102	0	0.378810281	101321.794	101321.806	101321.626	101323.301	1.49469761	0	0	0	359.949	0	0	3
51	104	0	0.386386487	101321.794	101321.806	101321.626	101323.301	1.49494592	0	0	0	362.004	0	0	3
52	106	0	0.393962692	101321.793	101321.806	101321.626	101323.301	1.49519449	0	0	0	358.087	0	0	3
53	107	0	0.401538898	101321.793	101321.805	101321.626	101323.301	1.49544213	0	0	0	360.104	0	0	3
54	109	0	0.409115104	101321.792	101321.805	101321.626	101323.301	1.49568521	0	0	0	356.658	0	0	3
55	111	0	0.416691309	101321.792	101321.805	101321.626	101323.301	1.49592183	0	0	0	358.046	0	0	3
56	116	0	0.424267515	101321.792	101321.805	101321.626	101323.301	1.49615384	0	0	0	355.163	0	0	3
57	118	0	0.431843721	101321.792	101321.805	101321.626	101323.301	1.49637593	0	0	0	355.932	0	0	3
58	120	0	0.439419926	101321.793	101321.804	101321.626	101323.301	1.49657911	0	0	0	353.553	0	0	3
59	122	0	0.446996132	101321.794	101321.804	101321.626	101323.301	1.4967615	0	0	0	353.989	0	0	3
60	123	0	0.454572337	101321.795	101321.804	101321.626	101323.301	1.49692038	0	0	0	352.076	0	0	3
61	125	0	0.462148543	101321.795	101321.804	101321.626	101323.301	1.4970606	0	0	0	352.318	0	0	3
62	127	0	0.469724749	101321.796	101321.804	101321.626	101323.301	1.49719342	0	0	0	350.846	0	0	3
63	129	0	0.477300954	101321.796	101321.804	101321.626	101323.301	1.49732235	0	0	0	350.915	0	0	3
64	131	0	0.48487716	101321.795	101321.803	101321.626	101323.301	1.4974555	0	0	0	349.816	0	0	3
65	133	0	0.492453366	101321.794	101321.803	101321.626	101323.301	1.49759939	0	0	0	349.653	0	0	3
66	135	0	0.500029571	101321.793	101321.803	101321.626	101323.301	1.49775702	0	0	0	348.836	0	0	3
67	136	0	0.507605777	101321.792	101321.78	101321.626	101321.816	0.189796192	0	0	0	348.585	0	0	3
68	138	0	0.515181982	101321.79	101321.781	101321.626	101321.816	0.189796192	0	0	0	347.958	0	0	3
69	140	0	0.522758188	101321.79	101321.783	101321.626	101321.816	0.189796192	0	0	0	347.533	0	0	3
70	142	0	0.530334394	101321.789	101321.785	101321.626	101321.816	0.189796192	0	0	0	346.86	0	0	3
71	144	0	0.537910599	101321.788	101321.787	101321.664	101321.816	0.152301182	0	0	0	346.403	0	0	3
72	146	0	0.545486805	101321.788	101321.789	101321.664	101321.816	0.127169438	0	0	0	345.637	0	0	3
73	147	0	0.553063011	101321.789	101321.791	101321.7	101321.816	0.10590456	0	0	0	345.048	0	0	3
74	149	0	0.560639216	101321.789	101321.791	101321.7	101321.816	0.0851670089	0	0	0	344.378	0	0	3
75	151	0	0.568215422	101321.79	101321.793	101321.731	101321.816	0.0747200396	0	0	0	343.881	0	0	3
76	153	0	0.575791627	101321.791	101321.793	101321.731	101321.816	0.0634029747	0	0	0	343.387	0	0	3
77	155	0	0.583367833	101321.791	101321.794	101321.768	101321.816	0.0480159763	0	0	0	343.046	0	0	3
78	157	0	0.590944039	101321.792	101321.794	101321.768	101321.816	0.0480159763	0	0	0	342.68	0	0	3
79	159	0	0.598520244	101321.792	101321.795	101321.779	101321.816	0.0375763121	0	0	0	342.517	0	0	3
80	160	0	0.60609645	101321.792	101321.795	101321.779	101321.816	0.0375763121	0	0	0	342.533	0	0	3
81	162	0	0.613672656	101321.792	101321.795	101321.779	101321.816	0.0375763121	0	0	0	342.678	0	0	3
82	164	0	0.621248861	101321.792	101321.794	101321.779	101321.816	0.0375763121	0	0	0	342.876	0	0	3
83	166	0	0.628825067	101321.791	101321.794	101321.779	101321.816	0.0375763121	0	0	0	342.997	0	0	3
84	168	0	0.636401272	101321.791	101321.794	101321.779	101321.815	0.0361391745	0	0	0	343.075	0	0	3
85	170	0	0.643977478	101321.79	101321.794	101321.779	101321.815	0.0361391745	0	0	0	343.028	0	0	3
86	172	0	0.651553684	101321.789	101321.793	101321.779	101321.81	0.0309530515	0	0	0	342.943	0	0	3
87	173	0	0.659129889	101321.788	101321.793	101321.779	101321.808	0.0294773468	0	0	0	342.752	0	0	3
88	175	0	0.666706095	101321.788	101321.793	101321.779	101321.806	0.027018533	0	0	0	342.627	0	0	3
89	177	0	0.674282301	101321.787	101321.792	101321.779	101321.806	0.027018533	0	0	0	342.546	0	0	3
90	179	0	0.681858506	101321.787	101321.792	101321.779	101321.806	0.027018533	0	0	0	342.634	0	0	3
91	181	0	0.689434712	101321.787	101321.792	101321.779	101321.806	0.027018533	0	0	0	342.64	0	0	3
92	183	0	0.697010917	101321.786	101321.792	101321.779	101321.806	0.027018533	0	0	0	342.756	0	0	3
93	185	0	0.704587123	101321.787	101321.792	101321.779	101321.806	0.027018533	0	0	0	342.874	0	0	3
94	187	0	0.712163329	101321.787	101321.792	101321.779	101321.806	0.027018533	0	0	0	343.096	0	0	3
95	189	0	0.719739534	101321.787	101321.792	101321.779	101321.806	0.026986397	0	0	0	343.297	0	0	3
