Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.00757620562	293.199994	293.199994	293.199994	293.199994	0	0	0	0	0.208307	0	0	3
2	14	0	0.0151524112	293.199987	293.19999	293.199987	293.199994	3.51051676e-06	0	0	0	0.218098	0	0	3
3	16	0	0.0227286169	293.199987	293.199989	293.199987	293.199994	4.72449574e-06	0	0	0	0.219811	0	0	3
4	18	0	0.0303048225	293.199985	293.199988	293.199985	293.199994	5.72935488e-06	0	0	0	0.219485	0	0	3
5	20	0	0.0378810281	293.199984	293.199987	293.199984	293.199994	6.47553816e-06	0	0	0	0.221855	0	0	3
6	22	0	0.0454572337	293.199982	293.199987	293.199982	293.199994	7.34884901e-06	0	0	0	0.222727	0	0	3
7	23	0	0.0530334394	293.19998	293.199986	293.19998	293.199994	8.29590408e-06	0	0	0	0.223921	0	0	3
8	25	0	0.060609645	293.199977	293.199985	293.199977	293.199994	9.32717984e-06	0	0	0	0.224056	0	0	3
9	27	0	0.0681858506	293.199975	293.199983	293.199975	293.199994	1.04318328e-05	0	0	0	0.224494	0	0	3
10	29	0	0.0757620562	293.199972	293.199982	293.199972	293.199994	1.15793893e-05	0	0	0	0.224407	0	0	3
11	31	0	0.0833382619	293.199968	293.199981	293.199968	293.199994	1.28375652e-05	0	0	0	0.223833	0	0	3
12	33	0	0.0909144675	293.199965	293.19998	293.199965	293.199994	1.41870221e-05	0	0	0	0.22576	0	0	3
13	35	0	0.0984906731	293.199962	293.199978	293.199962	293.199994	1.558171e-05	0	0	0	0.226084	0	0	3
14	36	0	0.106066879	293.199958	293.199977	293.199958	293.199994	1.70173412e-05	0	0	0	0.225751	0	0	3
15	38	0	0.113643084	293.199955	293.199975	293.199955	293.199994	1.84813286e-05	0	0	0	0.225021	0	0	3
16	40	0	0.12121929	293.19995	293.199974	293.19995	293.199994	2.00702979e-05	0	0	0	0.215977	0	0	3
17	42	0	0.128795496	293.199945	293.199972	293.199945	293.199994	2.17436285e-05	0	0	0	0.216947	0	0	3
18	44	0	0.136371701	293.199941	293.19997	293.199941	293.199994	2.3486907e-05	0	0	0	0.218684	0	0	3
