Iteration	CPUTime	PhysTime	Travels
1	12	0	0.00757620562
2	14	0	0.0151524112
3	16	0	0.0227286169
4	18	0	0.0303048225
5	20	0	0.0378810281
6	22	0	0.0454572337
7	23	0	0.0530334394
8	25	0	0.060609645
9	27	0	0.0681858506
10	29	0	0.0757620562
11	31	0	0.0833382619
12	33	0	0.0909144675
13	35	0	0.0984906731
14	36	0	0.106066879
15	38	0	0.113643084
16	40	0	0.12121929
17	42	0	0.128795496
18	44	0	0.136371701
19	46	0	0.143947907
20	47	0	0.151524112
21	49	0	0.159100318
22	51	0	0.166676524
23	53	0	0.174252729
24	55	0	0.181828935
25	57	0	0.189405141
26	58	0	0.196981346
27	60	0	0.204557552
28	62	0	0.212133757
29	64	0	0.219709963
30	65	0	0.227286169
31	67	0	0.234862374
32	69	0	0.24243858
33	71	0	0.250014786
34	73	0	0.257590991
35	74	0	0.265167197
36	76	0	0.272743402
37	78	0	0.280319608
38	80	0	0.287895814
39	82	0	0.295472019
40	84	0	0.303048225
41	86	0	0.310624431
42	87	0	0.318200636
43	89	0	0.325776842
44	91	0	0.333353047
45	93	0	0.340929253
46	95	0	0.348505459
47	96	0	0.356081664
48	98	0	0.36365787
49	100	0	0.371234076
50	102	0	0.378810281
51	104	0	0.386386487
52	106	0	0.393962692
53	107	0	0.401538898
54	109	0	0.409115104
55	111	0	0.416691309
56	116	0	0.424267515
57	118	0	0.431843721
58	120	0	0.439419926
59	122	0	0.446996132
60	123	0	0.454572337
61	125	0	0.462148543
62	127	0	0.469724749
63	129	0	0.477300954
64	131	0	0.48487716
65	133	0	0.492453366
66	135	0	0.500029571
67	136	0	0.507605777
68	138	0	0.515181982
69	140	0	0.522758188
70	142	0	0.530334394
71	144	0	0.537910599
72	146	0	0.545486805
73	147	0	0.553063011
74	149	0	0.560639216
75	151	0	0.568215422
76	153	0	0.575791627
77	155	0	0.583367833
78	157	0	0.590944039
79	159	0	0.598520244
80	160	0	0.60609645
81	162	0	0.613672656
82	164	0	0.621248861
83	166	0	0.628825067
84	168	0	0.636401272
85	170	0	0.643977478
86	172	0	0.651553684
87	173	0	0.659129889
88	175	0	0.666706095
89	177	0	0.674282301
90	179	0	0.681858506
91	181	0	0.689434712
92	183	0	0.697010917
93	185	0	0.704587123
94	187	0	0.712163329
95	189	0	0.719739534
96	191	0	0.72731574
97	193	0	0.734891946
98	195	0	0.742468151
99	197	0	0.750044357
100	199	0	0.757620562
101	202	0	0.765196768
102	204	0	0.772772974
103	206	0	0.780349179
104	208	0	0.787925385
105	210	0	0.795501591
106	212	0	0.803077796
107	213	0	0.810654002
108	215	0	0.818230207
109	217	0	0.825806413
110	219	0	0.833382619
111	221	0	0.840958824
112	222	0	0.84853503
113	224	0	0.856111236
114	226	0	0.863687441
115	228	0	0.871263647
116	229	0	0.878839852
117	231	0	0.886416058
118	233	0	0.893992264
119	235	0	0.901568469
120	237	0	0.909144675
121	238	0	0.916720881
122	240	0	0.924297086
123	242	0	0.931873292
124	244	0	0.939449497
125	245	0	0.947025703
126	247	0	0.954601909
127	249	0	0.962178114
128	251	0	0.96975432
129	253	0	0.977330526
130	254	0	0.984906731
131	256	0	0.992482937
132	258	0	1.00005914
133	260	0	1.00763535
134	262	0	1.01521155
135	264	0	1.02278776
136	265	0	1.03036396
137	267	0	1.03794017
138	269	0	1.04551638
139	271	0	1.05309258
140	273	0	1.06066879
141	275	0	1.06824499
142	277	0	1.0758212
143	279	0	1.0833974
144	280	0	1.09097361
145	282	0	1.09854982
146	284	0	1.10612602
147	286	0	1.11370223
148	288	0	1.12127843
149	290	0	1.12885464
150	291	0	1.13643084
151	293	0	1.14400705
152	295	0	1.15158325
153	297	0	1.15915946
154	299	0	1.16673567
155	301	0	1.17431187
156	302	0	1.18188808
157	304	0	1.18946428
158	306	0	1.19704049
159	308	0	1.20461669
160	310	0	1.2121929
161	312	0	1.21976911
162	313	0	1.22734531
163	315	0	1.23492152
164	317	0	1.24249772
165	319	0	1.25007393
166	321	0	1.25765013
167	322	0	1.26522634
168	324	0	1.27280254
169	326	0	1.28037875
170	328	0	1.28795496
171	330	0	1.29553116
172	332	0	1.30310737
173	334	0	1.31068357
174	335	0	1.31825978
175	337	0	1.32583598
176	339	0	1.33341219
177	341	0	1.3409884
178	343	0	1.3485646
179	344	0	1.35614081
180	346	0	1.36371701
