Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00783285131	-209.411156	-209.411156	-209.411156	-209.411156	0	0	0	0	0	0	0	3
2	13	0	0.0156657026	1.19821596	-104.10647	-209.411156	1.19821596	105.304686	0	0	0	0	0	0	3
3	15	0	0.0234985539	-3.70920698	-70.6407157	-209.411156	1.19821596	138.77044	0	0	0	0	0	0	3
4	17	0	0.0313314053	12.6734393	-49.812177	-209.411156	12.6734393	159.598979	0	0	0	0	0	0	3
5	19	0	0.0391642566	-6.25298813	-41.1003392	-209.411156	12.6734393	168.310817	0	0	0	0	0	0	3
6	20	0	0.0469971079	9.1796837	-32.7203354	-209.411156	12.6734393	176.690821	0	0	0	0	0	0	3
7	22	0	0.0548299592	-4.84848946	-28.7386431	-209.411156	12.6734393	180.672513	0	0	0	0	0	0	3
8	24	0	0.0626628105	7.83229215	-24.1672762	-209.411156	12.6734393	185.24388	0	0	0	0	0	0	3
9	25	0	0.0704956618	-3.64415503	-21.8869294	-209.411156	12.6734393	187.524227	0	0	0	0	0	0	3
10	27	0	0.0783285131	6.71185153	-19.0270513	-209.411156	12.6734393	190.384105	0	0	0	0	0	0	3
11	28	0	0.0861613645	-3.16938957	-17.5854457	-209.411156	12.6734393	191.825711	0	0	0	0	0	0	3
12	30	0	0.0939942158	3.29804156	-15.8451551	-209.411156	12.6734393	193.566001	0	0	0	0	0	0	3
13	31	0	0.101827067	-1.23272702	-14.7211222	-209.411156	12.6734393	194.690034	0	0	0	0	0	0	3
14	33	0	0.109659918	0.841553909	-13.6095025	-209.411156	12.6734393	195.801654	0	0	0	0	0	0	3
15	34	0	0.11749277	-0.621503148	-12.7436358	-209.411156	12.6734393	196.66752	0	0	0	0	0	0	3
16	36	0	0.125325621	-0.137105775	-11.9557277	-209.411156	12.6734393	197.455429	0	0	0	0	0	0	3
