Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00783285131	-2.36534751	-2.36534751	-2.36534751	-2.36534751	0	0	0	0	0	0	0	3
2	13	0	0.0156657026	0.129730986	-1.11780826	-2.36534751	0.129730986	1.24753925	0	0	0	0	0	0	3
3	15	0	0.0234985539	-0.68146086	-0.972359129	-2.36534751	0.129730986	1.39298838	0	0	0	0	0	0	3
4	17	0	0.0313314053	-20.4432568	-5.84008353	-20.4432568	0.129730986	4.86772441	0	0	0	0	0	0	3
5	19	0	0.0391642566	-1.62421411	-4.99690965	-20.4432568	0.129730986	4.86772441	0	0	0	0	0	0	3
6	20	0	0.0469971079	11.0187117	-2.32763943	-20.4432568	11.0187117	4.86772441	0	0	0	0	0	0	3
7	22	0	0.0548299592	-1.77090985	-2.24810663	-20.4432568	11.0187117	4.86772441	0	0	0	0	0	0	3
8	24	0	0.0626628105	5.93431326	-1.22530414	-20.4432568	11.0187117	4.86772441	0	0	0	0	0	0	3
9	25	0	0.0704956618	-1.61668869	-1.26879132	-20.4432568	11.0187117	4.86772441	0	0	0	0	0	0	3
10	27	0	0.0783285131	4.19614414	-0.72229777	-20.4432568	11.0187117	5.11778576	0	0	0	0	0	0	3
11	28	0	0.0861613645	-1.74505044	-0.815275286	-20.4432568	11.0187117	5.11778576	0	0	0	0	0	0	3
12	30	0	0.0939942158	1.90540904	-0.588551592	-20.4432568	11.0187117	5.25153194	0	0	0	0	0	0	3
13	31	0	0.101827067	-0.76786023	-0.602344564	-20.4432568	11.0187117	5.25153194	0	0	0	0	0	0	3
14	33	0	0.109659918	0.441707786	-0.527769396	-20.4432568	11.0187117	5.31231414	0	0	0	0	0	0	3
15	34	0	0.11749277	-0.425390976	-0.520944168	-20.4432568	11.0187117	5.31913937	0	0	0	0	0	0	3
16	36	0	0.125325621	-0.134487935	-0.496790654	-20.4432568	11.0187117	5.34329288	0	0	0	0	0	0	3
17	38	0	0.133158472	0.0841273471	-0.462619007	-20.4432568	11.0187117	5.37746453	0	0	0	0	0	0	3
18	39	0	0.140991324	-0.573231637	-0.468764153	-20.4432568	11.0187117	5.37746453	0	0	0	0	0	0	3
19	40	0	0.148824175	0.00216298806	-0.443978514	-20.4432568	11.0187117	5.39610502	0	0	0	0	0	0	3
20	42	0	0.156657026	-0.599621938	-0.451760685	-20.4432568	11.0187117	5.39610502	0	0	0	0	0	0	3
21	44	0	0.164489878	-0.318803009	-0.445429367	-20.4432568	11.0187117	5.39610502	0	0	0	0	0	0	3
22	45	0	0.172322729	-0.484445877	-0.447202845	-20.4432568	11.0187117	5.39610502	0	0	0	0	0	0	3
23	46	0	0.18015558	-0.371078831	-0.443893105	-20.4432568	11.0187117	5.39619043	0	0	0	0	0	0	3
24	48	0	0.187988432	-0.378554856	-0.441170678	-20.4432568	11.0187117	5.39891286	0	0	0	0	0	0	3
25	49	0	0.195821283	-0.312603853	-0.436028005	-20.4432568	11.0187117	5.40405553	0	0	0	0	0	0	3
26	51	0	0.203654134	-0.22747343	-0.428006675	-20.4432568	11.0187117	5.41207686	0	0	0	0	0	0	3
27	52	0	0.211486985	-0.148100545	-0.417639782	-20.4432568	11.0187117	5.42244375	0	0	0	0	0	0	3
28	54	0	0.219319837	-0.114044435	-0.406797091	-20.4432568	11.0187117	5.43328644	0	0	0	0	0	0	3
29	55	0	0.227152688	-0.113272447	-0.396675551	-20.4432568	11.0187117	5.44340798	0	0	0	0	0	0	3
30	57	0	0.234985539	-0.117936941	-0.387384264	-20.4432568	11.0187117	5.45269927	0	0	0	0	0	0	3
31	58	0	0.242818391	-0.0736313296	-0.377263202	-20.4432568	11.0187117	5.46282033	0	0	0	0	0	0	3
32	60	0	0.250651242	0.037373137	-0.364305816	-20.4432568	11.0187117	5.47577772	0	0	0	0	0	0	3
33	62	0	0.258484093	0.16072874	-0.348395678	-20.4432568	11.0187117	5.49168786	0	0	0	0	0	0	3
