Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00783285131	0	0	0	0	0	0	0	0	0	0	0	3
2	13	0	0.0156657026	0	0	0	0	0	0	0	0	0	0	0	3
3	15	0	0.0234985539	0	0	0	0	0	0	0	0	0	0	0	3
4	17	0	0.0313314053	0	0	0	0	0	0	0	0	0	0	0	3
5	19	0	0.0391642566	0	0	0	0	0	0	0	0	0	0	0	3
6	20	0	0.0469971079	0	0	0	0	0	0	0	0	0	0	0	3
7	22	0	0.0548299592	0	0	0	0	0	0	0	0	0	0	0	3
8	24	0	0.0626628105	0	0	0	0	0	0	0	0	0	0	0	3
9	25	0	0.0704956618	0	0	0	0	0	0	0	0	0	0	0	3
10	27	0	0.0783285131	0	0	0	0	0	0	0	0	0	0	0	3
11	28	0	0.0861613645	0	0	0	0	0	0	0	0	0	0	0	3
12	30	0	0.0939942158	0	0	0	0	0	0	0	0	0	0	0	3
13	31	0	0.101827067	0	0	0	0	0	0	0	0	0	0	0	3
14	33	0	0.109659918	0	0	0	0	0	0	0	0	0	0	0	3
15	34	0	0.11749277	0	0	0	0	0	0	0	0	0	0	0	3
16	36	0	0.125325621	0	0	0	0	0	0	0	0	0	0	0	3
17	38	0	0.133158472	0	0	0	0	0	0	0	0	0	0	0	3
18	39	0	0.140991324	0	0	0	0	0	0	0	0	0	0	0	3
19	40	0	0.148824175	0	0	0	0	0	0	0	0	0	0	0	3
20	42	0	0.156657026	0	0	0	0	0	0	0	0	0	0	0	3
21	44	0	0.164489878	0	0	0	0	0	0	0	0	0	0	0	3
22	45	0	0.172322729	0	0	0	0	0	0	0	0	0	0	0	3
23	46	0	0.18015558	0	0	0	0	0	0	0	0	0	0	0	3
24	48	0	0.187988432	0	0	0	0	0	0	0	0	0	0	0	3
25	49	0	0.195821283	0	0	0	0	0	0	0	0	0	0	0	3
26	51	0	0.203654134	0	0	0	0	0	0	0	0	0	0	0	3
27	52	0	0.211486985	0	0	0	0	0	0	0	0	0	0	0	3
28	54	0	0.219319837	0	0	0	0	0	0	0	0	0	0	0	3
29	55	0	0.227152688	0	0	0	0	0	0	0	0	0	0	0	3
30	57	0	0.234985539	0	0	0	0	0	0	0	0	0	0	0	3
31	58	0	0.242818391	0	0	0	0	0	0	0	0	0	0	0	3
32	60	0	0.250651242	0	0	0	0	0	0	0	0	0	0	0	3
33	62	0	0.258484093	0	0	0	0	0	0	0	0	0	0	0	3
34	63	0	0.266316945	0	0	0	0	0	0	0	0	0	0	0	3
35	65	0	0.274149796	0	0	0	0	0	0	0	0	0	0	0	3
36	66	0	0.281982647	0	0	0	0	0	0	0	0	0	0	0	3
37	68	0	0.289815499	0	0	0	0	0	0	0	0	0	0	0	3
38	69	0	0.29764835	0	0	0	0	0	0	0	0	0	0	0	3
39	71	0	0.305481201	0	0	0	0	0	0	0	0	0	0	0	3
40	72	0	0.313314053	0	0	0	0	0	0	0	0	0	0	0	3
41	74	0	0.321146904	0	0	0	0	0	0	0	0	0	0	0	3
42	76	0	0.328979755	0	0	0	0	0	0	0	0	0	0	0	3
43	77	0	0.336812606	0	0	0	0	0	0	0	0	0	0	0	3
44	79	0	0.344645458	0	0	0	0	0	0	0	0	0	0	0	3
45	80	0	0.352478309	0	0	0	0	0	0	0	0	0	0	0	3
46	82	0	0.36031116	0	0	0	0	0	0	0	0	0	0	0	3
47	84	0	0.368144012	0	0	0	0	0	0	0	0	0	0	0	3
48	85	0	0.375976863	0	0	0	0	0	0	0	0	0	0	0	3
49	87	0	0.383809714	0	0	0	0	0	0	0	0	0	0	0	3
50	88	0	0.391642566	0	0	0	0	0	0	0	0	0	0	0	3
51	90	0	0.399475417	0	0	0	0	0	0	0	0	0	0	0	3
52	92	0	0.407308268	0	0	0	0	0	0	0	0	0	0	0	3
53	93	0	0.41514112	0	0	0	0	0	0	0	0	0	0	0	3
54	95	0	0.422973971	0	0	0	0	0	0	0	0	0	0	0	3
55	96	0	0.430806822	0	0	0	0	0	0	0	0	0	0	0	3
56	98	0	0.438639674	0	0	0	0	0	0	0	0	0	0	0	3
57	100	0	0.446472525	0	0	0	0	0	0	0	0	0	0	0	3
58	101	0	0.454305376	0	0	0	0	0	0	0	0	0	0	0	3
59	103	0	0.462138228	0	0	0	0	0	0	0	0	0	0	0	3
60	104	0	0.469971079	0	0	0	0	0	0	0	0	0	0	0	3
61	106	0	0.47780393	0	0	0	0	0	0	0	0	0	0	0	3
62	107	0	0.485636781	0	0	0	0	0	0	0	0	0	0	0	3
63	109	0	0.493469633	0	0	0	0	0	0	0	0	0	0	0	3
64	111	0	0.501302484	0	0	0	0	0	0	0	0	0	0	0	3
65	112	0	0.509135335	0	0	0	0	0	0	0	0	0	0	0	3
66	114	0	0.516968187	0	0	0	0	0	0	0	0	0	0	0	3
67	115	0	0.524801038	0	0	0	0	0	0	0	0	0	0	0	3
68	117	0	0.532633889	0	0	0	0	0	0	0	0	0	0	0	3
69	119	0	0.540466741	0	0	0	0	0	0	0	0	0	0	0	3
70	120	0	0.548299592	0	0	0	0	0	0	0	0	0	0	0	3
