Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	20	0	0.00672500434	117.623813	117.623813	117.623813	117.623813	0	0	0	0	0	0	0	3
2	23	0	0.0134500087	4.11319082	60.8685019	4.11319082	117.623813	56.7553111	0	0	0	0	0	0	3
3	26	0	0.020175013	7.71717647	43.1513934	4.11319082	117.623813	74.4724195	0	0	0	0	0	0	3
4	29	0	0.0269000174	-2.74548323	31.6771743	-2.74548323	117.623813	85.9466387	0	0	0	0	0	0	3
5	31	0	0.0336250217	5.98443035	26.5386255	-2.74548323	117.623813	91.0851875	0	0	0	0	0	0	3
6	34	0	0.040350026	-0.614069911	22.0131762	-2.74548323	117.623813	95.6106367	0	0	0	0	0	0	3
7	36	0	0.0470750304	3.88717916	19.4237481	-2.74548323	117.623813	98.2000649	0	0	0	0	0	0	3
8	39	0	0.0538000347	0.218556177	17.0230991	-2.74548323	117.623813	100.600714	0	0	0	0	0	0	3
9	41	0	0.0605250391	3.15190558	15.4818554	-2.74548323	117.623813	102.141958	0	0	0	0	0	0	3
10	44	0	0.0672500434	0.621139484	13.9957838	-2.74548323	117.623813	103.628029	0	0	0	0	0	0	3
11	47	0	0.0739750477	2.50608506	12.9512657	-2.74548323	117.623813	104.672547	0	0	0	0	0	0	3
12	49	0	0.0807000521	1.01752573	11.9567874	-2.74548323	117.623813	105.667026	0	0	0	0	0	0	3
13	52	0	0.0874250564	2.29105338	11.2132694	-2.74548323	117.623813	106.410544	0	0	0	0	0	0	3
14	54	0	0.0941500608	1.18024132	10.4966245	-2.74548323	117.623813	107.127188	0	0	0	0	0	0	3
15	57	0	0.100875065	2.13619696	9.93926269	-2.74548323	117.623813	107.68455	0	0	0	0	0	0	3
16	59	0	0.107600069	1.42941626	9.40739729	-2.74548323	117.623813	108.216416	0	0	0	0	0	0	3
17	62	0	0.114325074	1.9362059	8.96791544	-2.74548323	117.623813	108.655898	0	0	0	0	0	0	3
18	64	0	0.121050078	1.5474387	8.55566673	-2.74548323	117.623813	109.068146	0	0	0	0	0	0	3
19	67	0	0.127775082	1.73449538	8.19665771	-2.74548323	117.623813	109.427155	0	0	0	0	0	0	3
20	69	0	0.134500087	1.60991354	7.86732051	-2.74548323	117.623813	109.756492	0	0	0	0	0	0	3
21	72	0	0.141225091	1.62798246	7.57020917	-2.74548323	117.623813	110.053604	0	0	0	0	0	0	3
22	74	0	0.147950095	1.57477949	7.29768964	-2.74548323	117.623813	110.326123	0	0	0	0	0	0	3
23	76	0	0.1546751	1.56656869	7.04851047	-2.74548323	117.623813	110.575302	0	0	0	0	0	0	3
24	79	0	0.161400104	1.54705637	6.81928321	-2.74548323	117.623813	110.80453	0	0	0	0	0	0	3
25	81	0	0.168125109	1.53649588	6.60797172	-2.74548323	117.623813	111.015841	0	0	0	0	0	0	3
26	83	0	0.174850113	1.48988282	6.41112215	-2.74548323	117.623813	111.212691	0	0	0	0	0	0	3
27	86	0	0.181575117	1.46670516	6.22799559	-2.74548323	117.623813	111.395817	0	0	0	0	0	0	3
28	88	0	0.188300122	1.45139618	6.05740276	-2.74548323	117.623813	111.56641	0	0	0	0	0	0	3
29	91	0	0.195025126	1.43546962	5.89802575	-2.74548323	117.623813	111.725787	0	0	0	0	0	0	3
30	93	0	0.20175013	1.42374788	5.74888315	-2.74548323	117.623813	111.87493	0	0	0	0	0	0	3
31	96	0	0.208475135	1.40477476	5.60875063	-2.74548323	117.623813	112.015062	0	0	0	0	0	0	3
32	98	0	0.215200139	1.40394876	5.47735057	-2.74548323	117.623813	112.146462	0	0	0	0	0	0	3
33	101	0	0.221925143	1.40258073	5.35387269	-2.74548323	117.623813	112.26994	0	0	0	0	0	0	3
34	103	0	0.228650148	1.40918181	5.23785237	-2.74548323	117.623813	112.385961	0	0	0	0	0	0	3
35	105	0	0.235375152	1.41034793	5.1284951	-2.74548323	117.623813	112.495318	0	0	0	0	0	0	3
36	108	0	0.242100156	1.4104542	5.02521619	-2.74548323	117.623813	112.598597	0	0	0	0	0	0	3
37	111	0	0.248825161	1.41211469	4.9275648	-2.74548323	117.623813	112.696248	0	0	0	0	0	0	3
38	113	0	0.255550165	1.41465946	4.83511992	-2.74548323	117.623813	112.788693	0	0	0	0	0	0	3
39	116	0	0.262275169	1.41102855	4.74732271	-2.74548323	117.623813	112.87649	0	0	0	0	0	0	3
40	118	0	0.269000174	1.41072093	4.66390766	-2.74548323	117.623813	112.959905	0	0	0	0	0	0	3
41	121	0	0.275725178	1.42592401	4.58493245	-2.74548323	117.623813	113.038881	0	0	0	0	0	0	3
42	124	0	0.282450182	1.4198215	4.50957267	-2.74548323	117.623813	113.11424	0	0	0	0	0	0	3
43	127	0	0.289175187	1.41208988	4.43753818	-2.74548323	117.623813	113.186275	0	0	0	0	0	0	3
44	129	0	0.295900191	1.40806185	4.36868645	-2.74548323	117.623813	113.255127	0	0	0	0	0	0	3
45	132	0	0.302625195	1.4052762	4.30283289	-2.74548323	117.623813	113.32098	0	0	0	0	0	0	3
46	134	0	0.3093502	1.38867091	4.23948154	-2.74548323	117.623813	113.384331	0	0	0	0	0	0	3
47	137	0	0.316075204	1.39761553	4.17901631	-2.74548323	117.623813	113.444797	0	0	0	0	0	0	3
48	139	0	0.322800208	1.4090706	4.1213091	-2.74548323	117.623813	113.502504	0	0	0	0	0	0	3
49	142	0	0.329525213	1.41881602	4.06615618	-2.74548323	117.623813	113.557657	0	0	0	0	0	0	3
50	144	0	0.336250217	1.42966364	4.01342633	-2.74548323	117.623813	113.610387	0	0	0	0	0	0	3
51	147	0	0.342975221	1.40526555	3.96228592	-2.74548323	117.623813	113.661527	0	0	0	0	0	0	3
52	149	0	0.349700226	1.41778601	3.91335323	-2.74548323	117.623813	113.71046	0	0	0	0	0	0	3
53	152	0	0.35642523	1.43251061	3.86654488	-2.74548323	117.623813	113.757268	0	0	0	0	0	0	3
54	154	0	0.363150234	1.44644201	3.82172816	-2.74548323	117.623813	113.802085	0	0	0	0	0	0	3
55	156	0	0.369875239	1.45531294	3.77870243	-2.74548323	117.623813	113.845111	0	0	0	0	0	0	3
56	159	0	0.376600243	1.44077823	3.73695378	-2.74548323	117.623813	113.886859	0	0	0	0	0	0	3
57	161	0	0.383325247	1.44774269	3.69679219	-2.74548323	117.623813	113.927021	0	0	0	0	0	0	3
58	164	0	0.390050252	1.44984038	3.65805164	-2.74548323	117.623813	113.965761	0	0	0	0	0	0	3
59	166	0	0.396775256	1.44546878	3.62055023	-2.74548323	117.623813	114.003263	0	0	0	0	0	0	3
60	169	0	0.40350026	1.43953504	3.58419998	-2.74548323	117.623813	114.039613	0	0	0	0	0	0	3
61	171	0	0.410225265	1.41144116	3.54858098	-2.74548323	117.623813	114.075232	0	0	0	0	0	0	3
62	174	0	0.416950269	1.40047682	3.51393414	-2.74548323	117.623813	114.109879	0	0	0	0	0	0	3
63	176	0	0.423675273	1.39033258	3.48022618	-2.74548323	117.623813	114.143587	0	0	0	0	0	0	3
64	179	0	0.430400278	1.3866969	3.44751479	-2.74548323	117.623813	114.176298	0	0	0	0	0	0	3
65	181	0	0.437125282	1.38414061	3.41577057	-2.74548323	117.623813	114.208042	0	0	0	0	0	0	3
66	184	0	0.443850286	1.37400226	3.38483468	-2.74548323	117.623813	114.238978	0	0	0	0	0	0	3
67	186	0	0.450575291	1.38211317	3.35494332	-2.74548323	117.623813	114.26887	0	0	0	0	0	0	3
68	189	0	0.457300295	1.39762537	3.32615923	-2.74548323	117.623813	114.297654	0	0	0	0	0	0	3
69	191	0	0.464025299	1.4134376	3.29843863	-2.74548323	117.623813	114.325374	0	0	0	0	0	0	3
70	194	0	0.470750304	1.42923833	3.27173577	-2.74548323	117.623813	114.352077	0	0	0	0	0	0	3
71	196	0	0.477475308	1.42392064	3.2457102	-2.74548323	117.623813	114.378103	0	0	0	0	0	0	3
72	199	0	0.484200313	1.44171434	3.2206547	-2.74548323	117.623813	114.403158	0	0	0	0	0	0	3
73	201	0	0.490925317	1.45439635	3.19645938	-2.74548323	117.623813	114.427354	0	0	0	0	0	0	3
74	204	0	0.497650321	1.46065539	3.17300257	-2.74548323	117.623813	114.45081	0	0	0	0	0	0	3
75	206	0	0.504375326	1.46095585	3.15017528	-2.74548323	117.623813	114.473638	0	0	0	0	0	0	3
76	209	0	0.51110033	1.42652617	1.60087813	-2.74548323	7.71717647	10.4626597	0	0	0	0	0	0	3
77	211	0	0.517825334	1.42546517	1.56504178	-2.74548323	7.71717647	10.4626597	0	0	0	0	0	0	3
78	213	0	0.524550339	1.42597465	1.48115909	-2.74548323	5.98443035	8.72991358	0	0	0	0	0	0	3
79	216	0	0.531275343	1.42618508	1.53678134	-0.614069911	5.98443035	6.59850026	0	0	0	0	0	0	3
80	218	0	0.538000347	1.42674599	1.47601221	-0.614069911	3.88717916	4.50124908	0	0	0	0	0	0	3
81	221	0	0.544725352	1.41937269	1.50312478	0.218556177	3.88717916	3.66862299	0	0	0	0	0	0	3
82	223	0	0.551450356	1.42312192	1.47027068	0.218556177	3.15190558	2.9333494	0	0	0	0	0	0	3
83	226	0	0.55817536	1.42612841	1.48637165	0.621139484	3.15190558	2.5307661	0	0	0	0	0	0	3
84	228	0	0.564900365	1.42938244	1.46340467	0.621139484	2.50608506	1.88494558	0	0	0	0	0	0	3
85	230	0	0.571625369	1.4311377	1.47420465	1.01752573	2.50608506	1.48855932	0	0	0	0	0	0	3
86	233	0	0.578350373	1.41286128	1.45962833	1.01752573	2.29105338	1.27352765	0	0	0	0	0	0	3
87	235	0	0.585075378	1.40812749	1.46483635	1.18024132	2.29105338	1.11081206	0	0	0	0	0	0	3
88	238	0	0.591800382	1.40782935	1.45306003	1.18024132	2.13619696	0.955955644	0	0	0	0	0	0	3
