Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	20	0	0.00672500434	7.16571785	7.16571785	7.16571785	7.16571785	0	0	0	0	0	0	0	3
2	23	0	0.0134500087	4.45308595	5.8094019	4.45308595	7.16571785	1.35631595	0	0	0	0	0	0	3
3	26	0	0.020175013	11.7965373	7.80511371	4.45308595	11.7965373	1.99571181	0	0	0	0	0	0	3
4	29	0	0.0269000174	4.86539392	7.07018376	4.45308595	11.7965373	1.99571181	0	0	0	0	0	0	3
5	31	0	0.0336250217	7.53673074	7.16349316	4.45308595	11.7965373	1.99571181	0	0	0	0	0	0	3
6	34	0	0.040350026	8.20494653	7.33706872	4.45308595	11.7965373	1.99571181	0	0	0	0	0	0	3
7	36	0	0.0470750304	3.55967894	6.79744161	3.55967894	11.7965373	1.99571181	0	0	0	0	0	0	3
8	39	0	0.0538000347	12.7958082	7.54723743	3.55967894	12.7958082	1.99571181	0	0	0	0	0	0	3
9	41	0	0.0605250391	-0.09445336	6.69816067	-0.09445336	12.7958082	1.99571181	0	0	0	0	0	0	3
10	44	0	0.0672500434	17.2608424	7.75442884	-0.09445336	17.2608424	1.99571181	0	0	0	0	0	0	3
11	47	0	0.0739750477	-1.64694968	6.89975807	-1.64694968	17.2608424	1.99571181	0	0	0	0	0	0	3
12	49	0	0.0807000521	18.4054195	7.85856319	-1.64694968	18.4054195	2.04916129	0	0	0	0	0	0	3
13	52	0	0.0874250564	-4.34886386	6.91953034	-4.34886386	18.4054195	2.04916129	0	0	0	0	0	0	3
14	54	0	0.0941500608	19.5139481	7.81913161	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
15	57	0	0.100875065	-4.29294006	7.01166016	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
16	59	0	0.107600069	15.7641185	7.55868881	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
17	62	0	0.114325074	0.613648283	7.15015701	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
18	64	0	0.121050078	12.2594323	7.43400564	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
19	67	0	0.127775082	5.50530825	7.33249525	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
20	69	0	0.134500087	9.46828111	7.43928455	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
21	72	0	0.141225091	7.28449074	7.43191341	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
22	74	0	0.147950095	8.43743537	7.47761896	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
23	76	0	0.1546751	7.88730366	7.49543134	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
24	79	0	0.161400104	8.26291266	7.52740972	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
25	81	0	0.168125109	8.09414922	7.5500793	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
26	83	0	0.174850113	8.14273006	7.57287356	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
27	86	0	0.181575117	8.16177943	7.59468489	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
28	88	0	0.188300122	8.14512884	7.6143436	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
29	91	0	0.195025126	8.06323123	7.62982249	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
30	93	0	0.20175013	7.9973999	7.64207507	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
31	96	0	0.208475135	7.9830478	7.65307419	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
32	98	0	0.215200139	8.04682317	7.66537884	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
33	101	0	0.221925143	8.17783644	7.68090786	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
34	103	0	0.228650148	8.27506669	7.69838312	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
35	105	0	0.235375152	8.46977175	7.7204228	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
36	108	0	0.242100156	8.6044631	7.74497947	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
37	111	0	0.248825161	8.79106433	7.77325204	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
38	113	0	0.255550165	8.93874002	7.80392277	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
39	116	0	0.262275169	9.06568057	7.83627554	-4.34886386	19.5139481	2.04916129	0	0	0	0	0	0	3
40	118	0	0.269000174	9.13286111	7.86869018	-4.34886386	19.5139481	2.05928828	0	0	0	0	0	0	3
41	121	0	0.275725178	9.24733267	7.9023156	-4.34886386	19.5139481	2.0929137	0	0	0	0	0	0	3
42	124	0	0.282450182	9.33217205	7.9363598	-4.34886386	19.5139481	2.12695791	0	0	0	0	0	0	3
43	127	0	0.289175187	9.43356841	7.97117861	-4.34886386	19.5139481	2.16177671	0	0	0	0	0	0	3
44	129	0	0.295900191	9.50767783	8.00609905	-4.34886386	19.5139481	2.19669715	0	0	0	0	0	0	3
45	132	0	0.302625195	9.5890394	8.0412755	-4.34886386	19.5139481	2.2318736	0	0	0	0	0	0	3
46	134	0	0.3093502	9.67593785	8.07681164	-4.34886386	19.5139481	2.26740974	0	0	0	0	0	0	3
47	137	0	0.316075204	9.81768573	8.11385151	-4.34886386	19.5139481	2.30444961	0	0	0	0	0	0	3
48	139	0	0.322800208	9.96549935	8.15242751	-4.34886386	19.5139481	2.34302561	0	0	0	0	0	0	3
49	142	0	0.329525213	10.1316753	8.19282032	-4.34886386	19.5139481	2.38341842	0	0	0	0	0	0	3
50	144	0	0.336250217	10.3098027	8.23515997	-4.34886386	19.5139481	2.42575807	0	0	0	0	0	0	3
51	147	0	0.342975221	10.388093	8.27737434	-4.34886386	19.5139481	2.46797244	0	0	0	0	0	0	3
52	149	0	0.349700226	10.4730397	8.31959867	-4.34886386	19.5139481	2.51019677	0	0	0	0	0	0	3
53	152	0	0.35642523	10.5687611	8.3620357	-4.34886386	19.5139481	2.5526338	0	0	0	0	0	0	3
54	154	0	0.363150234	10.6411641	8.40424178	-4.34886386	19.5139481	2.59483988	0	0	0	0	0	0	3
55	156	0	0.369875239	10.7121131	8.44620308	-4.34886386	19.5139481	2.63680118	0	0	0	0	0	0	3
56	159	0	0.376600243	10.689236	8.48625724	-4.34886386	19.5139481	2.67685534	0	0	0	0	0	0	3
57	161	0	0.383325247	10.6558707	8.52432063	-4.34886386	19.5139481	2.71491873	0	0	0	0	0	0	3
58	164	0	0.390050252	10.5865398	8.55987613	-4.34886386	19.5139481	2.75047424	0	0	0	0	0	0	3
59	166	0	0.396775256	10.4867293	8.59253466	-4.34886386	19.5139481	2.78313276	0	0	0	0	0	0	3
60	169	0	0.40350026	10.3403509	8.62166493	-4.34886386	19.5139481	2.81226303	0	0	0	0	0	0	3
61	171	0	0.410225265	10.1538145	8.64678214	-4.34886386	19.5139481	2.83738024	0	0	0	0	0	0	3
62	174	0	0.416950269	9.90218558	8.66703058	-4.34886386	19.5139481	2.85762868	0	0	0	0	0	0	3
63	176	0	0.423675273	9.6594943	8.68278397	-4.34886386	19.5139481	2.87338208	0	0	0	0	0	0	3
64	179	0	0.430400278	9.41296222	8.69419301	-4.34886386	19.5139481	2.88479111	0	0	0	0	0	0	3
65	181	0	0.437125282	9.18688428	8.70177288	-4.34886386	19.5139481	2.89237098	0	0	0	0	0	0	3
66	184	0	0.443850286	8.90873519	8.70490867	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
67	186	0	0.450575291	8.68023919	8.70454047	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
68	189	0	0.457300295	8.52199703	8.701856	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
69	191	0	0.464025299	8.42373105	8.69782521	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
70	194	0	0.470750304	8.36086828	8.69301154	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
71	196	0	0.477475308	8.28694107	8.68729224	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
72	199	0	0.484200313	8.23892569	8.68106492	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
73	201	0	0.490925317	8.2025735	8.67451025	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
74	204	0	0.497650321	8.15676412	8.66751368	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
75	206	0	0.504375326	8.09689782	8.65990546	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
76	209	0	0.51110033	7.99080401	8.67090661	-4.34886386	19.5139481	2.89550677	0	0	0	0	0	0	3
77	211	0	0.517825334	7.87919362	8.71658805	-4.34886386	19.5139481	2.01842738	0	0	0	0	0	0	3
78	213	0	0.524550339	7.76748783	8.66286739	-4.34886386	19.5139481	2.01842738	0	0	0	0	0	0	3
79	216	0	0.531275343	7.67048708	8.70026863	-4.34886386	19.5139481	2.01842738	0	0	0	0	0	0	3
80	218	0	0.538000347	7.57436544	8.70077043	-4.34886386	19.5139481	2.01842738	0	0	0	0	0	0	3
81	221	0	0.544725352	7.49922444	8.6913608	-4.34886386	19.5139481	2.01842738	0	0	0	0	0	0	3
82	223	0	0.551450356	7.4450742	8.74316607	-4.34886386	19.5139481	2.0450054	0	0	0	0	0	0	3
83	226	0	0.55817536	7.41692325	8.6714476	-4.34886386	19.5139481	2.0450054	0	0	0	0	0	0	3
84	228	0	0.564900365	7.41704459	8.77160091	-4.34886386	19.5139481	1.87184284	0	0	0	0	0	0	3
85	230	0	0.571625369	7.43107579	8.64053736	-4.34886386	19.5139481	1.87184284	0	0	0	0	0	0	3
86	233	0	0.578350373	7.39231627	8.7610609	-4.34886386	19.5139481	1.85207057	0	0	0	0	0	0	3
87	235	0	0.585075378	7.36044649	8.61379459	-4.34886386	19.5139481	1.85207057	0	0	0	0	0	0	3
