Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	20	0	0.00672500434	100125.268	100125.268	100125.268	100125.268	0	0	0	0	5501.02	0	0	3
2	23	0	0.0134500087	100125.829	100125.549	100125.268	100125.829	0.280542627	0	0	0	1507.82	0	0	3
3	26	0	0.020175013	100125.928	100125.675	100125.268	100125.928	0.406959051	0	0	0	1075.37	0	0	3
4	29	0	0.0269000174	100125.922	100125.737	100125.268	100125.928	0.468565568	0	0	0	723.676	0	0	3
5	31	0	0.0336250217	100125.913	100125.772	100125.268	100125.928	0.503875237	0	0	0	810.059	0	0	3
6	34	0	0.040350026	100125.918	100125.796	100125.268	100125.928	0.52821541	0	0	0	820.519	0	0	3
7	36	0	0.0470750304	100125.914	100125.813	100125.268	100125.928	0.545050803	0	0	0	820.323	0	0	3
8	39	0	0.0538000347	100125.922	100125.827	100125.268	100125.928	0.55870198	0	0	0	797.504	0	0	3
9	41	0	0.0605250391	100125.904	100125.835	100125.268	100125.928	0.567289959	0	0	0	776.439	0	0	3
10	44	0	0.0672500434	100125.925	100125.844	100125.268	100125.928	0.576290333	0	0	0	752.558	0	0	3
11	47	0	0.0739750477	100125.889	100125.849	100125.268	100125.928	0.580349654	0	0	0	725.166	0	0	3
12	49	0	0.0807000521	100125.92	100125.855	100125.268	100125.928	0.586344506	0	0	0	702.638	0	0	3
13	52	0	0.0874250564	100125.882	100125.857	100125.268	100125.928	0.588439145	0	0	0	682.463	0	0	3
14	54	0	0.0941500608	100125.903	100125.86	100125.268	100125.928	0.591744707	0	0	0	668.658	0	0	3
15	57	0	0.100875065	100125.875	100125.861	100125.268	100125.928	0.592774409	0	0	0	659.622	0	0	3
16	59	0	0.107600069	100125.886	100125.863	100125.268	100125.928	0.594368516	0	0	0	661.136	0	0	3
17	62	0	0.114325074	100125.863	100125.863	100125.268	100125.928	0.59442291	0	0	0	647.445	0	0	3
18	64	0	0.121050078	100125.872	100125.863	100125.268	100125.928	0.594958391	0	0	0	626.448	0	0	3
19	67	0	0.127775082	100125.86	100125.863	100125.268	100125.928	0.594958391	0	0	0	614.886	0	0	3
20	69	0	0.134500087	100125.862	100125.863	100125.268	100125.928	0.594958391	0	0	0	606.959	0	0	3
21	72	0	0.141225091	100125.857	100125.863	100125.268	100125.928	0.594958391	0	0	0	600.515	0	0	3
22	74	0	0.147950095	100125.856	100125.862	100125.268	100125.928	0.594958391	0	0	0	593.628	0	0	3
23	76	0	0.1546751	100125.855	100125.862	100125.268	100125.928	0.594958391	0	0	0	595.53	0	0	3
24	79	0	0.161400104	100125.856	100125.862	100125.268	100125.928	0.594958391	0	0	0	587.801	0	0	3
25	81	0	0.168125109	100125.856	100125.862	100125.268	100125.928	0.594958391	0	0	0	574.799	0	0	3
26	83	0	0.174850113	100125.859	100125.861	100125.268	100125.928	0.594958391	0	0	0	573.287	0	0	3
27	86	0	0.181575117	100125.86	100125.861	100125.268	100125.928	0.594958391	0	0	0	565.3	0	0	3
28	88	0	0.188300122	100125.862	100125.861	100125.268	100125.928	0.594958391	0	0	0	562.784	0	0	3
29	91	0	0.195025126	100125.863	100125.861	100125.268	100125.928	0.594958391	0	0	0	557.473	0	0	3
30	93	0	0.20175013	100125.864	100125.862	100125.268	100125.928	0.594958391	0	0	0	558.498	0	0	3
31	96	0	0.208475135	100125.863	100125.862	100125.268	100125.928	0.594958391	0	0	0	553.904	0	0	3
32	98	0	0.215200139	100125.859	100125.862	100125.268	100125.928	0.594958391	0	0	0	552.647	0	0	3
33	101	0	0.221925143	100125.852	100125.861	100125.268	100125.928	0.594958391	0	0	0	549.841	0	0	3
34	103	0	0.228650148	100125.844	100125.861	100125.268	100125.928	0.594958391	0	0	0	550.485	0	0	3
35	105	0	0.235375152	100125.836	100125.86	100125.268	100125.928	0.594958391	0	0	0	546.891	0	0	3
36	108	0	0.242100156	100125.827	100125.859	100125.268	100125.928	0.594958391	0	0	0	548.152	0	0	3
37	111	0	0.248825161	100125.82	100125.858	100125.268	100125.928	0.594958391	0	0	0	548.554	0	0	3
38	113	0	0.255550165	100125.817	100125.857	100125.268	100125.928	0.594958391	0	0	0	549.508	0	0	3
39	116	0	0.262275169	100125.816	100125.856	100125.268	100125.928	0.594958391	0	0	0	547.99	0	0	3
40	118	0	0.269000174	100125.818	100125.855	100125.268	100125.928	0.594958391	0	0	0	547.778	0	0	3
41	121	0	0.275725178	100125.821	100125.854	100125.268	100125.928	0.594958391	0	0	0	547.987	0	0	3
42	124	0	0.282450182	100125.824	100125.853	100125.268	100125.928	0.594958391	0	0	0	547.841	0	0	3
43	127	0	0.289175187	100125.825	100125.853	100125.268	100125.928	0.594958391	0	0	0	547.371	0	0	3
44	129	0	0.295900191	100125.826	100125.852	100125.268	100125.928	0.594958391	0	0	0	545.202	0	0	3
45	132	0	0.302625195	100125.825	100125.852	100125.268	100125.928	0.594958391	0	0	0	535.169	0	0	3
46	134	0	0.3093502	100125.824	100125.851	100125.268	100125.928	0.594958391	0	0	0	529.993	0	0	3
47	137	0	0.316075204	100125.822	100125.85	100125.268	100125.928	0.594958391	0	0	0	529.191	0	0	3
48	139	0	0.322800208	100125.82	100125.85	100125.268	100125.928	0.594958391	0	0	0	526.368	0	0	3
49	142	0	0.329525213	100125.817	100125.849	100125.268	100125.928	0.594958391	0	0	0	525.3	0	0	3
50	144	0	0.336250217	100125.815	100125.848	100125.268	100125.928	0.594958391	0	0	0	523.794	0	0	3
51	147	0	0.342975221	100125.813	100125.848	100125.268	100125.928	0.594958391	0	0	0	524.498	0	0	3
52	149	0	0.349700226	100125.812	100125.847	100125.268	100125.928	0.594958391	0	0	0	522.857	0	0	3
53	152	0	0.35642523	100125.81	100125.846	100125.268	100125.928	0.594958391	0	0	0	523.74	0	0	3
54	154	0	0.363150234	100125.809	100125.846	100125.268	100125.928	0.594958391	0	0	0	522.209	0	0	3
55	156	0	0.369875239	100125.808	100125.845	100125.268	100125.928	0.594958391	0	0	0	523.667	0	0	3
56	159	0	0.376600243	100125.808	100125.844	100125.268	100125.928	0.594958391	0	0	0	521.161	0	0	3
57	161	0	0.383325247	100125.808	100125.844	100125.268	100125.928	0.594958391	0	0	0	522.106	0	0	3
58	164	0	0.390050252	100125.809	100125.843	100125.268	100125.928	0.594958391	0	0	0	519.241	0	0	3
59	166	0	0.396775256	100125.81	100125.842	100125.268	100125.928	0.594958391	0	0	0	519.991	0	0	3
60	169	0	0.40350026	100125.812	100125.842	100125.268	100125.928	0.594958391	0	0	0	516.277	0	0	3
61	171	0	0.410225265	100125.815	100125.842	100125.268	100125.928	0.594958391	0	0	0	515.608	0	0	3
62	174	0	0.416950269	100125.818	100125.841	100125.268	100125.928	0.594958391	0	0	0	511.647	0	0	3
63	176	0	0.423675273	100125.821	100125.841	100125.268	100125.928	0.594958391	0	0	0	510.603	0	0	3
64	179	0	0.430400278	100125.825	100125.841	100125.268	100125.928	0.594958391	0	0	0	507.214	0	0	3
65	181	0	0.437125282	100125.829	100125.84	100125.268	100125.928	0.594958391	0	0	0	505.723	0	0	3
66	184	0	0.443850286	100125.833	100125.84	100125.268	100125.928	0.594958391	0	0	0	502.654	0	0	3
67	186	0	0.450575291	100125.836	100125.84	100125.268	100125.928	0.594958391	0	0	0	500.875	0	0	3
68	189	0	0.457300295	100125.84	100125.84	100125.268	100125.928	0.594958391	0	0	0	498.346	0	0	3
69	191	0	0.464025299	100125.842	100125.84	100125.268	100125.928	0.594958391	0	0	0	497.43	0	0	3
70	194	0	0.470750304	100125.843	100125.84	100125.268	100125.928	0.594958391	0	0	0	495.553	0	0	3
71	196	0	0.477475308	100125.844	100125.84	100125.268	100125.928	0.594958391	0	0	0	494.248	0	0	3
72	199	0	0.484200313	100125.846	100125.84	100125.268	100125.928	0.594958391	0	0	0	492.358	0	0	3
73	201	0	0.490925317	100125.847	100125.84	100125.268	100125.928	0.594958391	0	0	0	491.21	0	0	3
74	204	0	0.497650321	100125.848	100125.841	100125.268	100125.928	0.594958391	0	0	0	488.222	0	0	3
75	206	0	0.504375326	100125.848	100125.841	100125.268	100125.928	0.594958391	0	0	0	488.005	0	0	3
76	209	0	0.51110033	100125.85	100125.848	100125.808	100125.928	0.120458156	0	0	0	487.032	0	0	3
77	211	0	0.517825334	100125.851	100125.849	100125.808	100125.928	0.120458156	0	0	0	487.101	0	0	3
78	213	0	0.524550339	100125.852	100125.848	100125.808	100125.925	0.117959955	0	0	0	486.694	0	0	3
79	216	0	0.531275343	100125.853	100125.847	100125.808	100125.925	0.0910831548	0	0	0	487.103	0	0	3
80	218	0	0.538000347	100125.854	100125.846	100125.808	100125.925	0.066742981	0	0	0	486.381	0	0	3
81	221	0	0.544725352	100125.855	100125.845	100125.808	100125.925	0.0499075885	0	0	0	487.946	0	0	3
82	223	0	0.551450356	100125.856	100125.844	100125.808	100125.925	0.0362564112	0	0	0	487.272	0	0	3
83	226	0	0.55817536	100125.857	100125.844	100125.808	100125.925	0.0276684327	0	0	0	488.767	0	0	3
84	228	0	0.564900365	100125.857	100125.843	100125.808	100125.925	0.0229405269	0	0	0	488.763	0	0	3
85	230	0	0.571625369	100125.857	100125.842	100125.808	100125.92	0.0229405269	0	0	0	489.4	0	0	3
86	233	0	0.578350373	100125.857	100125.842	100125.808	100125.92	0.0229405269	0	0	0	489.099	0	0	3
87	235	0	0.585075378	100125.857	100125.841	100125.808	100125.903	0.0229405269	0	0	0	489.152	0	0	3
88	238	0	0.591800382	100125.858	100125.84	100125.808	100125.903	0.0229405269	0	0	0	488.101	0	0	3
89	240	0	0.598525386	100125.858	100125.84	100125.808	100125.886	0.0233361929	0	0	0	488.239	0	0	3
90	243	0	0.605250391	100125.858	100125.84	100125.808	100125.886	0.0235684473	0	0	0	487.106	0	0	3
91	245	0	0.611975395	100125.858	100125.839	100125.808	100125.872	0.0239458672	0	0	0	487.152	0	0	3
92	247	0	0.618700399	100125.859	100125.839	100125.808	100125.872	0.0240086036	0	0	0	485.585	0	0	3
93	250	0	0.625425404	100125.859	100125.839	100125.808	100125.864	0.0240060034	0	0	0	485.384	0	0	3
94	252	0	0.632150408	100125.86	100125.839	100125.808	100125.864	0.0239460292	0	0	0	484.684	0	0	3
95	255	0	0.638875412	100125.86	100125.839	100125.808	100125.864	0.0236876886	0	0	0	484.388	0	0	3
96	257	0	0.645600417	100125.861	100125.839	100125.808	100125.864	0.0233844056	0	0	0	483.454	0	0	3
97	260	0	0.652325421	100125.861	100125.839	100125.808	100125.864	0.0230636826	0	0	0	481.857	0	0	3
98	262	0	0.659050425	100125.861	100125.839	100125.808	100125.864	0.0227988556	0	0	0	480.689	0	0	3
99	264	0	0.66577543	100125.862	100125.839	100125.808	100125.864	0.0226682429	0	0	0	479.2	0	0	3
100	267	0	0.672500434	100125.862	100125.839	100125.808	100125.864	0.0226682429	0	0	0	475.545	0	0	3
101	272	0	0.679225438	100125.863	100125.839	100125.808	100125.864	0.0226682429	0	0	0	468.816	0	0	3
102	274	0	0.685950443	100125.863	100125.839	100125.808	100125.864	0.0226682429	0	0	0	461.975	0	0	3
103	277	0	0.692675447	100125.864	100125.839	100125.808	100125.864	0.0226682429	0	0	0	459.27	0	0	3
