Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708812575	114.140417	114.140417	114.140417	114.140417	0	0	0	0	0	0	0	3
2	17	0	0.0141762515	4.18226174	59.1613391	4.18226174	114.140417	54.9790774	0	0	0	0	0	0	3
3	20	0	0.0212643772	7.21590047	41.8461929	4.18226174	114.140417	72.2942236	0	0	0	0	0	0	3
4	22	0	0.028352503	-2.89179897	30.6616949	-2.89179897	114.140417	83.4787216	0	0	0	0	0	0	3
5	25	0	0.0354406287	5.15987958	25.5613319	-2.89179897	114.140417	88.5790847	0	0	0	0	0	0	3
6	27	0	0.0425287545	-0.555817642	21.2084736	-2.89179897	114.140417	92.9319429	0	0	0	0	0	0	3
7	29	0	0.0496168802	3.35201328	18.6575507	-2.89179897	114.140417	95.4828658	0	0	0	0	0	0	3
8	31	0	0.056705006	0.232787272	16.3544553	-2.89179897	114.140417	97.7859613	0	0	0	0	0	0	3
9	33	0	0.0637931317	2.65171897	14.831929	-2.89179897	114.140417	99.3084875	0	0	0	0	0	0	3
10	35	0	0.0708812575	0.689648496	13.417701	-2.89179897	114.140417	100.722716	0	0	0	0	0	0	3
11	38	0	0.0779693832	1.96299813	12.3763644	-2.89179897	114.140417	101.764052	0	0	0	0	0	0	3
12	40	0	0.085057509	1.08623232	11.43552	-2.89179897	114.140417	102.704897	0	0	0	0	0	0	3
13	43	0	0.0921456347	1.66531644	10.6839659	-2.89179897	114.140417	103.456451	0	0	0	0	0	0	3
14	46	0	0.0992337605	1.32186872	10.0152447	-2.89179897	114.140417	104.125172	0	0	0	0	0	0	3
15	49	0	0.106321886	1.46932501	9.44551669	-2.89179897	114.140417	104.6949	0	0	0	0	0	0	3
16	52	0	0.113410012	1.44580808	8.9455349	-2.89179897	114.140417	105.194882	0	0	0	0	0	0	3
17	55	0	0.120498138	1.37925936	8.50045987	-2.89179897	114.140417	105.639957	0	0	0	0	0	0	3
18	58	0	0.127586263	1.44270917	8.10836261	-2.89179897	114.140417	106.032054	0	0	0	0	0	0	3
19	61	0	0.134674389	1.34006824	7.75213659	-2.89179897	114.140417	106.38828	0	0	0	0	0	0	3
20	63	0	0.141762515	1.39280704	7.43417011	-2.89179897	114.140417	106.706246	0	0	0	0	0	0	3
21	66	0	0.148850641	1.30658157	7.14238018	-2.89179897	114.140417	106.998036	0	0	0	0	0	0	3
22	69	0	0.155938766	1.30350557	6.87697679	-2.89179897	114.140417	107.26344	0	0	0	0	0	0	3
23	71	0	0.163026892	1.26710192	6.63306919	-2.89179897	114.140417	107.507347	0	0	0	0	0	0	3
24	74	0	0.170115018	1.25072889	6.40880501	-2.89179897	114.140417	107.731612	0	0	0	0	0	0	3
25	76	0	0.177203144	1.23567856	6.20187995	-2.89179897	114.140417	107.938537	0	0	0	0	0	0	3
26	79	0	0.184291269	1.23120087	6.01069999	-2.89179897	114.140417	108.129717	0	0	0	0	0	0	3
27	82	0	0.191379395	1.21007795	5.83289917	-2.89179897	114.140417	108.307517	0	0	0	0	0	0	3
28	84	0	0.198467521	1.18629869	5.66694915	-2.89179897	114.140417	108.473467	0	0	0	0	0	0	3
29	86	0	0.205555647	1.16420135	5.51168199	-2.89179897	114.140417	108.628735	0	0	0	0	0	0	3
30	89	0	0.212643772	1.14504846	5.36612754	-2.89179897	114.140417	108.774289	0	0	0	0	0	0	3
31	91	0	0.219731898	1.12758653	5.22940041	-2.89179897	114.140417	108.911016	0	0	0	0	0	0	3
32	94	0	0.226820024	1.11315027	5.10076759	-2.89179897	114.140417	109.039649	0	0	0	0	0	0	3
33	96	0	0.23390815	1.10756223	4.97976137	-2.89179897	114.140417	109.160655	0	0	0	0	0	0	3
34	99	0	0.240996275	1.10210079	4.86571253	-2.89179897	114.140417	109.274704	0	0	0	0	0	0	3
35	101	0	0.248084401	1.1018903	4.75817475	-2.89179897	114.140417	109.382242	0	0	0	0	0	0	3
36	104	0	0.255172527	1.07684859	4.65591569	-2.89179897	114.140417	109.484501	0	0	0	0	0	0	3
37	107	0	0.262260653	1.08712465	4.55946188	-2.89179897	114.140417	109.580955	0	0	0	0	0	0	3
38	109	0	0.269348778	1.09360214	4.46825504	-2.89179897	114.140417	109.672161	0	0	0	0	0	0	3
39	111	0	0.276436904	1.09640795	4.38179742	-2.89179897	114.140417	109.758619	0	0	0	0	0	0	3
40	114	0	0.28352503	1.09919316	4.29973232	-2.89179897	114.140417	109.840684	0	0	0	0	0	0	3
41	117	0	0.290613156	1.05846126	4.22067693	-2.89179897	114.140417	109.91974	0	0	0	0	0	0	3
42	120	0	0.297701281	1.06394408	4.14551662	-2.89179897	114.140417	109.9949	0	0	0	0	0	0	3
43	122	0	0.304789407	1.06862145	4.07396092	-2.89179897	114.140417	110.066456	0	0	0	0	0	0	3
44	124	0	0.311877533	1.06986477	4.00568601	-2.89179897	114.140417	110.134731	0	0	0	0	0	0	3
45	127	0	0.318965659	1.06923489	3.94043154	-2.89179897	114.140417	110.199985	0	0	0	0	0	0	3
46	130	0	0.326053784	1.03415582	3.87725163	-2.89179897	114.140417	110.263165	0	0	0	0	0	0	3
47	132	0	0.33314191	1.03498878	3.81677795	-2.89179897	114.140417	110.323639	0	0	0	0	0	0	3
48	135	0	0.340230036	1.04646801	3.75906316	-2.89179897	114.140417	110.381353	0	0	0	0	0	0	3
49	137	0	0.347318162	1.05847779	3.70394917	-2.89179897	114.140417	110.436467	0	0	0	0	0	0	3
50	139	0	0.354406287	1.07045411	3.65127927	-2.89179897	114.140417	110.489137	0	0	0	0	0	0	3
51	142	0	0.361494413	1.07102965	3.60068614	-2.89179897	114.140417	110.53973	0	0	0	0	0	0	3
52	144	0	0.368582539	1.07830791	3.55217887	-2.89179897	114.140417	110.588238	0	0	0	0	0	0	3
53	147	0	0.375670665	1.07885171	3.50551232	-2.89179897	114.140417	110.634904	0	0	0	0	0	0	3
54	149	0	0.38275879	1.0798502	3.46059265	-2.89179897	114.140417	110.679824	0	0	0	0	0	0	3
55	152	0	0.389846916	1.07596266	3.41723574	-2.89179897	114.140417	110.723181	0	0	0	0	0	0	3
56	154	0	0.396935042	1.05079756	3.37497792	-2.89179897	114.140417	110.765439	0	0	0	0	0	0	3
57	157	0	0.404023168	1.05999068	3.33436411	-2.89179897	114.140417	110.806052	0	0	0	0	0	0	3
58	160	0	0.411111293	1.07550276	3.29541822	-2.89179897	114.140417	110.844998	0	0	0	0	0	0	3
59	162	0	0.418199419	1.09204981	3.25807299	-2.89179897	114.140417	110.882344	0	0	0	0	0	0	3
60	165	0	0.425287545	1.10977017	3.22226795	-2.89179897	114.140417	110.918149	0	0	0	0	0	0	3
61	168	0	0.432375671	1.10771349	3.18760312	-2.89179897	114.140417	110.952813	0	0	0	0	0	0	3
62	170	0	0.439463796	1.11855386	3.15423136	-2.89179897	114.140417	110.986185	0	0	0	0	0	0	3
63	173	0	0.446551922	1.12642377	3.12204393	-2.89179897	114.140417	111.018373	0	0	0	0	0	0	3
64	175	0	0.453640048	1.13284853	3.09096276	-2.89179897	114.140417	111.049454	0	0	0	0	0	0	3
65	177	0	0.460728174	1.13581389	3.06088354	-2.89179897	114.140417	111.079533	0	0	0	0	0	0	3
66	180	0	0.467816299	1.12385848	3.03153468	-2.89179897	114.140417	111.108882	0	0	0	0	0	0	3
67	182	0	0.474904425	1.12347426	3.00305616	-2.89179897	114.140417	111.13736	0	0	0	0	0	0	3
68	185	0	0.481992551	1.12378529	2.97541983	-2.89179897	114.140417	111.164997	0	0	0	0	0	0	3
69	187	0	0.489080677	1.12264044	2.94856795	-2.89179897	114.140417	111.191849	0	0	0	0	0	0	3
70	190	0	0.496168802	1.12208259	2.92247531	-2.89179897	114.140417	111.217941	0	0	0	0	0	0	3
71	192	0	0.503256928	1.11058619	2.89695574	-2.89179897	114.140417	111.243461	0	0	0	0	0	0	3
72	195	0	0.510345054	1.11410154	1.30503581	-2.89179897	7.21590047	10.1076994	0	0	0	0	0	0	3
73	197	0	0.51743318	1.11664513	1.26185811	-2.89179897	7.21590047	10.1076994	0	0	0	0	0	0	3
74	199	0	0.524521305	1.1167668	1.17595482	-2.89179897	5.15987958	8.05167856	0	0	0	0	0	0	3
75	202	0	0.531609431	1.11388691	1.23237293	-0.555817642	5.15987958	5.71569722	0	0	0	0	0	0	3
76	205	0	0.538697557	1.08618654	1.17499697	-0.555817642	3.35201328	3.90783092	0	0	0	0	0	0	3
77	208	0	0.545785683	1.08595684	1.19812056	0.232787272	3.35201328	3.11922601	0	0	0	0	0	0	3
78	210	0	0.552873808	1.0889578	1.16624654	0.232787272	2.65171897	2.4189317	0	0	0	0	0	0	3
79	212	0	0.559961934	1.0934713	1.17836885	0.689648496	2.65171897	1.96207047	0	0	0	0	0	0	3
80	215	0	0.56705006	1.09937466	1.15650484	0.689648496	1.96299813	1.27334963	0	0	0	0	0	0	3
81	218	0	0.574138186	1.09076879	1.16215442	1.03415582	1.96299813	0.928842312	0	0	0	0	0	0	3
82	220	0	0.581226311	1.0971771	1.14995976	1.03415582	1.66531644	0.631160629	0	0	0	0	0	0	3
83	222	0	0.588314437	1.10389529	1.15020854	1.03415582	1.66531644	0.631160629	0	0	0	0	0	0	3
84	224	0	0.595402563	1.11157687	1.14240939	1.03415582	1.46932501	0.435169194	0	0	0	0	0	0	3
85	226	0	0.602490689	1.11851925	1.13954531	1.03415582	1.46932501	0.435169194	0	0	0	0	0	0	3
86	229	0	0.609578814	1.1121631	1.13451486	1.03415582	1.44580808	0.411652265	0	0	0	0	0	0	3
87	232	0	0.61666694	1.1173263	1.12988836	1.03415582	1.44270917	0.408553353	0	0	0	0	0	0	3
88	234	0	0.623755066	1.12047655	1.12624353	1.03415582	1.44270917	0.408553353	0	0	0	0	0	0	3
89	237	0	0.630843192	1.12068801	1.12170802	1.03415582	1.39280704	0.358651223	0	0	0	0	0	0	3
90	239	0	0.637931317	1.11993055	1.11860749	1.03415582	1.39280704	0.358651223	0	0	0	0	0	0	3
91	242	0	0.645019443	1.09640847	1.11443286	1.03415582	1.30658157	0.27242575	0	0	0	0	0	0	3
92	244	0	0.652107569	1.0988555	1.11150714	1.03415582	1.30350557	0.269349759	0	0	0	0	0	0	3
93	246	0	0.659195695	1.1013857	1.10866038	1.03415582	1.26710192	0.232946105	0	0	0	0	0	0	3
94	248	0	0.66628382	1.10270494	1.10634493	1.03415582	1.25072889	0.216573075	0	0	0	0	0	0	3
95	251	0	0.673371946	1.10139315	1.10424161	1.03415582	1.23567856	0.201522747	0	0	0	0	0	0	3
96	253	0	0.680460072	1.08590722	1.10213216	1.03415582	1.23120087	0.197045056	0	0	0	0	0	0	3
97	255	0	0.687548198	1.08431407	1.10006333	1.03415582	1.21007795	0.175922132	0	0	0	0	0	0	3
98	257	0	0.694636323	1.08501444	1.09830187	1.03415582	1.18629869	0.15214287	0	0	0	0	0	0	3
99	259	0	0.701724449	1.08451746	1.09686833	1.03415582	1.16420135	0.130045532	0	0	0	0	0	0	3
100	261	0	0.708812575	1.08393215	1.09573778	1.03415582	1.14504846	0.110892648	0	0	0	0	0	0	3
101	266	0	0.715900701	1.07432155	1.09474163	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
102	268	0	0.722988826	1.08300736	1.09411375	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
103	270	0	0.730076952	1.09212837	1.09381767	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
104	273	0	0.737165078	1.09993286	1.09371021	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
105	275	0	0.744253204	1.10453484	1.09374449	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
106	277	0	0.751341329	1.08994869	1.0935763	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
107	280	0	0.758429455	1.09679545	1.09385724	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
108	282	0	0.765517581	1.10374165	1.09409129	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
109	285	0	0.772605707	1.10984674	1.09432008	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
110	287	0	0.779693832	1.11314059	1.09455575	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
111	290	0	0.786781958	1.09211452	1.09445606	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
112	292	0	0.793870084	1.08729077	1.0948621	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
113	294	0	0.80095821	1.08619489	1.0951755	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
114	297	0	0.808046335	1.08797566	1.09544809	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
115	299	0	0.815134461	1.08995518	1.09573105	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
116	302	0	0.822222587	1.090899	1.09603618	1.03415582	1.13581389	0.101658072	0	0	0	0	0	0	3
117	304	0	0.829310713	1.1010236	1.09697798	1.03498878	1.13581389	0.100825105	0	0	0	0	0	0	3
118	307	0	0.836398838	1.11116066	1.09805083	1.04646801	1.13581389	0.0893458754	0	0	0	0	0	0	3
119	309	0	0.843486964	1.11740368	1.09904992	1.05079756	1.13581389	0.0850163264	0	0	0	0	0	0	3
120	311	0	0.85057509	1.12051807	1.09992373	1.05079756	1.13581389	0.0850163264	0	0	0	0	0	0	3
121	314	0	0.857663216	1.10176222	1.10036469	1.05079756	1.13581389	0.0850163264	0	0	0	0	0	0	3
