Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00741635569	0	0	0	0	0	0	0	0	0	0	0	3
2	16	0	0.0148327114	0	0	0	0	0	0	0	0	0	0	0	3
3	18	0	0.0222490671	0	0	0	0	0	0	0	0	0	0	0	3
4	20	0	0.0296654227	0	0	0	0	0	0	0	0	0	0	0	3
5	22	0	0.0370817784	0	0	0	0	0	0	0	0	0	0	0	3
6	25	0	0.0444981341	0	0	0	0	0	0	0	0	0	0	0	3
7	27	0	0.0519144898	0	0	0	0	0	0	0	0	0	0	0	3
8	28	0	0.0593308455	0	0	0	0	0	0	0	0	0	0	0	3
9	30	0	0.0667472012	0	0	0	0	0	0	0	0	0	0	0	3
10	32	0	0.0741635569	0	0	0	0	0	0	0	0	0	0	0	3
11	34	0	0.0815799126	0	0	0	0	0	0	0	0	0	0	0	3
12	36	0	0.0889962682	0	0	0	0	0	0	0	0	0	0	0	3
13	38	0	0.0964126239	0	0	0	0	0	0	0	0	0	0	0	3
14	40	0	0.10382898	0	0	0	0	0	0	0	0	0	0	0	3
15	42	0	0.111245335	0	0	0	0	0	0	0	0	0	0	0	3
16	44	0	0.118661691	0	0	0	0	0	0	0	0	0	0	0	3
17	46	0	0.126078047	0	0	0	0	0	0	0	0	0	0	0	3
18	48	0	0.133494402	0	0	0	0	0	0	0	0	0	0	0	3
19	50	0	0.140910758	0	0	0	0	0	0	0	0	0	0	0	3
20	51	0	0.148327114	0	0	0	0	0	0	0	0	0	0	0	3
21	53	0	0.155743469	0	0	0	0	0	0	0	0	0	0	0	3
22	56	0	0.163159825	0	0	0	0	0	0	0	0	0	0	0	3
23	58	0	0.170576181	0	0	0	0	0	0	0	0	0	0	0	3
24	60	0	0.177992536	0	0	0	0	0	0	0	0	0	0	0	3
25	62	0	0.185408892	0	0	0	0	0	0	0	0	0	0	0	3
26	64	0	0.192825248	0	0	0	0	0	0	0	0	0	0	0	3
27	66	0	0.200241604	0	0	0	0	0	0	0	0	0	0	0	3
