Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00782013439	287.500004	287.500004	287.500004	287.500004	0	0	0	0	0.184367	0	0	3
2	13	0	0.0156402688	287.499998	287.500001	287.499998	287.500004	2.79241965e-06	0	0	0	0.190901	0	0	3
3	15	0	0.0234604032	287.499998	287.5	287.499998	287.500004	3.7661635e-06	0	0	0	0.194152	0	0	3
4	17	0	0.0312805376	287.499997	287.499999	287.499997	287.500004	4.58873939e-06	0	0	0	0.19252	0	0	3
5	19	0	0.0391006719	287.499996	287.499999	287.499996	287.500004	5.21118238e-06	0	0	0	0.196434	0	0	3
6	20	0	0.0469208063	287.499994	287.499998	287.499994	287.500004	5.93670046e-06	0	0	0	0.195619	0	0	3
7	22	0	0.0547409407	287.499992	287.499997	287.499992	287.500004	6.74130808e-06	0	0	0	0.195823	0	0	3
8	23	0	0.0625610751	287.49999	287.499996	287.49999	287.500004	7.61608408e-06	0	0	0	0.194647	0	0	3
9	25	0	0.0703812095	287.499988	287.499995	287.499988	287.500004	8.55978044e-06	0	0	0	0.194476	0	0	3
10	26	0	0.0782013439	287.499985	287.499994	287.499985	287.500004	9.53827617e-06	0	0	0	0.193755	0	0	3
11	28	0	0.0860214783	287.499982	287.499993	287.499982	287.500004	1.060899e-05	0	0	0	0.191794	0	0	3
12	30	0	0.0938416127	287.499979	287.499992	287.499979	287.500004	1.17519062e-05	0	0	0	0.191942	0	0	3
13	31	0	0.101661747	287.499977	287.499991	287.499977	287.500004	1.29358662e-05	0	0	0	0.192214	0	0	3
14	33	0	0.109481881	287.499974	287.49999	287.499974	287.500004	1.41535166e-05	0	0	0	0.193701	0	0	3
15	34	0	0.117302016	287.499971	287.499988	287.499971	287.500004	1.5387826e-05	0	0	0	0.194644	0	0	3
16	36	0	0.12512215	287.499967	287.499987	287.499967	287.500004	1.67171672e-05	0	0	0	0.188773	0	0	3
17	38	0	0.132942285	287.499963	287.499986	287.499963	287.500004	1.81112084e-05	0	0	0	0.189343	0	0	3
18	39	0	0.140762419	287.49996	287.499984	287.49996	287.500004	1.95587906e-05	0	0	0	0.190847	0	0	3
19	41	0	0.148582553	287.499956	287.499983	287.499956	287.500004	2.10471615e-05	0	0	0	0.191562	0	0	3
20	43	0	0.156402688	287.499952	287.499981	287.499952	287.500004	2.25726637e-05	0	0	0	0.192205	0	0	3
21	44	0	0.164222822	287.499946	287.49998	287.499946	287.500004	2.42257001e-05	0	0	0	0.194111	0	0	3
22	46	0	0.172042957	287.49994	287.499978	287.49994	287.500004	2.60039656e-05	0	0	0	0.193746	0	0	3
23	47	0	0.179863091	287.499934	287.499976	287.499934	287.500004	2.79062168e-05	0	0	0	0.196023	0	0	3
24	49	0	0.187683225	287.499927	287.499974	287.499927	287.500004	2.99323377e-05	0	0	0	0.197984	0	0	3
25	51	0	0.19550336	287.49992	287.499972	287.49992	287.500004	3.20804557e-05	0	0	0	0.199722	0	0	3
26	52	0	0.203323494	287.499909	287.499969	287.499909	287.500004	3.44943149e-05	0	0	0	0.203193	0	0	3
27	54	0	0.211143629	287.499898	287.499967	287.499898	287.500004	3.7151636e-05	0	0	0	0.205078	0	0	3
28	55	0	0.218963763	287.499886	287.499964	287.499886	287.500004	4.00238599e-05	0	0	0	0.206667	0	0	3
29	57	0	0.226783897	287.499875	287.499961	287.499875	287.500004	4.30791206e-05	0	0	0	0.209091	0	0	3
30	58	0	0.234604032	287.499865	287.499958	287.499865	287.500004	4.62849311e-05	0	0	0	0.21088	0	0	3
31	60	0	0.242424166	287.49985	287.499954	287.49985	287.500004	4.97559997e-05	0	0	0	0.213738	0	0	3
32	62	0	0.2502443	287.499836	287.49995	287.499836	287.500004	5.34336006e-05	0	0	0	0.214552	0	0	3
33	63	0	0.258064435	287.499824	287.499947	287.499824	287.500004	5.72635744e-05	0	0	0	0.215101	0	0	3
34	65	0	0.265884569	287.499813	287.499943	287.499813	287.500004	6.1198827e-05	0	0	0	0.215478	0	0	3
35	67	0	0.273704704	287.499802	287.499939	287.499802	287.500004	6.52023608e-05	0	0	0	0.215765	0	0	3
36	68	0	0.281524838	287.499789	287.499934	287.499789	287.500004	6.93612083e-05	0	0	0	0.216186	0	0	3
37	70	0	0.289344972	287.499776	287.49993	287.499776	287.500004	7.363642e-05	0	0	0	0.21632	0	0	3
38	72	0	0.297165107	287.499764	287.499926	287.499764	287.500004	7.80049488e-05	0	0	0	0.216506	0	0	3
39	73	0	0.304985241	287.499752	287.499921	287.499752	287.500004	8.24488967e-05	0	0	0	0.216643	0	0	3
40	75	0	0.312805376	287.499741	287.499917	287.499741	287.500004	8.69490244e-05	0	0	0	0.216838	0	0	3
41	77	0	0.32062551	287.49973	287.499912	287.49973	287.500004	9.15119707e-05	0	0	0	0.216238	0	0	3
42	78	0	0.328445644	287.49972	287.499908	287.49972	287.500004	9.60816611e-05	0	0	0	0.216227	0	0	3
43	80	0	0.336265779	287.499713	287.499903	287.499713	287.500004	0.000100601672	0	0	0	0.216202	0	0	3
44	82	0	0.344085913	287.499709	287.499899	287.499709	287.500004	0.000105025402	0	0	0	0.217145	0	0	3
45	83	0	0.351906048	287.499706	287.499894	287.499706	287.500004	0.00010931795	0	0	0	0.217217	0	0	3
46	85	0	0.359726182	287.499705	287.49989	287.499705	287.500004	0.000113426579	0	0	0	0.21731	0	0	3
47	87	0	0.367546316	287.499706	287.499886	287.499705	287.500004	0.00011734187	0	0	0	0.217249	0	0	3
48	89	0	0.375366451	287.499708	287.499883	287.499705	287.500004	0.000121056515	0	0	0	0.217463	0	0	3
49	90	0	0.383186585	287.499711	287.499879	287.499705	287.500004	0.000124566995	0	0	0	0.218028	0	0	3
50	92	0	0.391006719	287.499714	287.499876	287.499705	287.500004	0.000127872511	0	0	0	0.21853	0	0	3
51	94	0	0.398826854	287.499719	287.499873	287.499705	287.500004	0.000130957577	0	0	0	0.218185	0	0	3
52	96	0	0.406646988	287.499723	287.49987	287.499705	287.500004	0.000133844716	0	0	0	0.217384	0	0	3
53	98	0	0.414467123	287.499727	287.499867	287.499705	287.500004	0.000136546092	0	0	0	0.216422	0	0	3
54	99	0	0.422287257	287.499731	287.499865	287.499705	287.500004	0.000139068743	0	0	0	0.216109	0	0	3
55	101	0	0.430107391	287.499735	287.499862	287.499705	287.500004	0.000141419717	0	0	0	0.215816	0	0	3
56	103	0	0.437927526	287.49974	287.49986	287.499705	287.500004	0.000143605349	0	0	0	0.214992	0	0	3
