Iteration	CPUTime	PhysTime	Travels
1	11	0	0.00782013439
2	13	0	0.0156402688
3	15	0	0.0234604032
4	17	0	0.0312805376
5	19	0	0.0391006719
6	20	0	0.0469208063
7	22	0	0.0547409407
8	23	0	0.0625610751
9	25	0	0.0703812095
10	26	0	0.0782013439
11	28	0	0.0860214783
12	30	0	0.0938416127
13	31	0	0.101661747
14	33	0	0.109481881
15	34	0	0.117302016
16	36	0	0.12512215
17	38	0	0.132942285
18	39	0	0.140762419
19	41	0	0.148582553
20	43	0	0.156402688
21	44	0	0.164222822
22	46	0	0.172042957
23	47	0	0.179863091
24	49	0	0.187683225
25	51	0	0.19550336
26	52	0	0.203323494
27	54	0	0.211143629
28	55	0	0.218963763
29	57	0	0.226783897
30	58	0	0.234604032
31	60	0	0.242424166
32	62	0	0.2502443
33	63	0	0.258064435
34	65	0	0.265884569
35	67	0	0.273704704
36	68	0	0.281524838
37	70	0	0.289344972
38	72	0	0.297165107
39	73	0	0.304985241
40	75	0	0.312805376
41	77	0	0.32062551
42	78	0	0.328445644
43	80	0	0.336265779
44	82	0	0.344085913
45	83	0	0.351906048
46	85	0	0.359726182
47	87	0	0.367546316
48	89	0	0.375366451
49	90	0	0.383186585
50	92	0	0.391006719
51	94	0	0.398826854
52	96	0	0.406646988
53	98	0	0.414467123
54	99	0	0.422287257
55	101	0	0.430107391
56	103	0	0.437927526
57	105	0	0.44574766
58	106	0	0.453567795
59	108	0	0.461387929
60	110	0	0.469208063
61	111	0	0.477028198
62	113	0	0.484848332
63	114	0	0.492668467
64	116	0	0.500488601
65	118	0	0.508308735
66	119	0	0.51612887
67	121	0	0.523949004
68	123	0	0.531769138
69	124	0	0.539589273
70	126	0	0.547409407
71	128	0	0.555229542
72	129	0	0.563049676
73	131	0	0.57086981
74	132	0	0.578689945
75	134	0	0.586510079
76	136	0	0.594330214
77	138	0	0.602150348
78	139	0	0.609970482
79	141	0	0.617790617
80	142	0	0.625610751
81	144	0	0.633430886
82	146	0	0.64125102
83	148	0	0.649071154
84	149	0	0.656891289
85	151	0	0.664711423
86	152	0	0.672531557
87	154	0	0.680351692
88	156	0	0.688171826
89	157	0	0.695991961
90	159	0	0.703812095
91	160	0	0.711632229
92	162	0	0.719452364
93	164	0	0.727272498
94	165	0	0.735092633
95	167	0	0.742912767
96	169	0	0.750732901
97	170	0	0.758553036
98	172	0	0.76637317
99	173	0	0.774193305
100	175	0	0.782013439
101	178	0	0.789833573
102	180	0	0.797653708
103	182	0	0.805473842
104	183	0	0.813293976
105	185	0	0.821114111
106	187	0	0.828934245
107	188	0	0.83675438
108	190	0	0.844574514
109	192	0	0.852394648
110	193	0	0.860214783
111	195	0	0.868034917
112	196	0	0.875855052
113	198	0	0.883675186
114	199	0	0.89149532
115	201	0	0.899315455
116	203	0	0.907135589
117	204	0	0.914955724
118	206	0	0.922775858
119	207	0	0.930595992
120	209	0	0.938416127
121	211	0	0.946236261
122	212	0	0.954056395
123	214	0	0.96187653
124	215	0	0.969696664
125	217	0	0.977516799
126	219	0	0.985336933
127	220	0	0.993157067
128	222	0	1.0009772
