Alpha,T2-VLM2, , 
            0,      15.82411, , 
          0.5,      18.21195, , 
            1,      19.63694, , 
          1.5,      20.46672, , 
            2,      20.95805, , 
          2.5,       21.1174, , 
            3,      21.10973, , 
          3.5,      20.91775, , 
            4,      20.52395, , 
          4.5,      20.03121, , 
            5,      19.49206, , 
          5.5,      18.93459, , 
            6,      18.37277, , 
          6.5,      17.81576, , 
            7,      17.24757, , 
          7.5,      16.68334, , 
            8,      16.14656, , 
          8.5,      15.61849, , 
            9,      15.08473, , 
          9.5,      14.50829, , 
           10,      13.85691, , 
         10.5,       13.2026, , 
           11,      12.55219, , 
         11.5,      11.94367, , 
           12,       11.3469, , 

